OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,FACILITYID,LOCDESC,OBJECTID_hydstra,station
42,42,29,4240.247827,42,{E435F82E-ECA0-4BFB-A8EB-0142E98A9855},J01-9144-2,,29,SULPHURCREEK
43,43,29,4162.017915,43,{F1A86142-DBA4-42BB-8221-72A6C95051FD},J01-10041-1,,29,SULPHURCREEK
44,44,29,11955.73071,44,{7824354E-0097-4F6A-AAB4-C94D938C0884},J01-9096-2,,29,SULPHURCREEK
45,45,29,12038.86068,45,{1413D2C3-58DC-45F2-B8AA-D5392651E317},J01-9096-3,,29,SULPHURCREEK
46,46,29,13602.13863,46,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},J05-9271-6,,29,SULPHURCREEK
47,47,29,13392.27223,47,{61C8BB11-6A81-453E-B067-468DF1EBE6F9},J05-9800-1,,29,SULPHURCREEK
48,48,30,14338.7361,48,{B447E738-FF4A-4052-83BC-409EFD00CC89},J05-9800-2,,30,ELTORO
49,49,30,6647.323042,49,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},J01-9066-1 (J01P04),,30,ELTORO
50,50,30,6189.806023,50,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},J01-9066-2 (J01P03),J01P03,30,ELTORO
51,51,30,6040.394787,51,{EA507FFF-90B9-4B7C-A25C-4FCAE97A9C80},J01-9066-3,,30,ELTORO
52,52,30,3879.993615,52,{91338D15-19F3-4699-83FA-4C17B2C07214},J01-9785-1,El Toro Park - Muirlands and Los Alisos,30,ELTORO
53,53,30,1721.187466,53,{0C412167-0198-4A3A-BF90-BC6661F03204},J01-9359-1 (J01P32),J01P32,30,ELTORO
54,54,30,1751.145702,54,{3331432E-118F-4592-A1B3-BE999F86DE7A},J01-9359-2,Overflow for storm flow (90% of time it is closed) - no need to inspect  ,30,ELTORO
55,55,30,1840.080737,55,{E1103331-8036-4F77-BC91-180C7034DBA9},J01-9058-1,,30,ELTORO
56,56,30,2122.830721,56,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},J01-10006-1,,30,ELTORO
57,57,30,4682.595339,57,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},J01-10004-1 (J01P01),Munger - Trabuco Rd and El Toro Rd,30,ELTORO
58,58,30,4572.242265,58,{91E48869-6AD5-41B7-8A9B-640ED2238B02},J01-9782-1 (J01TBN3),J01TBN3,30,ELTORO
59,59,30,5388.371421,59,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},J01-10004-2,,30,ELTORO
60,60,30,11861.40063,60,{D1EBB0B7-3D03-4EE5-8D43-EF34E157DB50},J01-9275-1,,30,ELTORO
61,61,30,12457.98957,61,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},J01-9275-2,,30,ELTORO
62,62,30,12747.77321,62,{A5E8D0C5-CF35-493E-82CF-D79551B6F3B7},J01-9275-3,,30,ELTORO
63,63,65,12094.21605,63,{8CBE211E-6B2C-4F44-8B05-03474A9B0641},J01-10012-1,,65,TRABUCO
64,64,65,12000.97364,64,{A74B2733-CDCA-49F9-A1B8-23D6F9A2AF46},J01-10012-2,,65,TRABUCO
65,65,65,11933.2312,65,{C7011A4C-B034-4F7E-9F64-E6EE106A3A98},J01-10012-4,,65,TRABUCO
66,66,65,11921.66614,66,{4609DC4C-E5D6-419D-B11C-B08C7DE7B617},J01-9033-2,,65,TRABUCO
67,67,30,14924.44145,67,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},J06-9079-1 (J06P03),"dairy fork 78""",30,ELTORO
68,68,30,14085.06692,68,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},J06-10011-1 (J06P01),"dairy fork 96""",30,ELTORO
69,69,29,1236.692724,69,{30268716-5276-44DF-9485-87949570FB12},J01-10041-2 (J03P13),J03P13,29,SULPHURCREEK
70,70,29,1703.209474,70,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},J01-9005-3,Connection to Niguel Lake via 3 CMPs,29,SULPHURCREEK
71,71,29,3716.515518,71,{BEADF14B-536C-491F-AF1C-E6C6959F66BD},J01-9005-1 (J03P05),J03P05,29,SULPHURCREEK
72,72,29,7007.03136,72,{B312B909-A14D-4AAA-BB21-74D113055A73},J03-9216-1 (J03P01),,29,SULPHURCREEK
73,73,29,11317.9369,73,{54D4C40E-5443-439B-86B6-9EDDB17119A1},J03-9234-3,,29,SULPHURCREEK
74,74,29,11015.80893,74,{5BADBA86-D539-4425-BE1D-7221F03CD9CD},J03-9234-4,,29,SULPHURCREEK
75,75,29,11974.78388,75,{585AB996-A105-4DA2-B70D-D81C0950D5BB},J03-9234-2,,29,SULPHURCREEK
