Time,J01_9046_2,J01_9046_2,J01_9046_2,J01_9349_1,J01_9349_1,J01_9349_1,J01_10004_1,J01_10004_1,J01_10004_1
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2022 0:00,33.5,0.25,0.005,33.6,,,82.8,3.72,0.033
10/2/2022 0:00,33.5,0.23,0.004,34.3,,,82.8,3.74,0.035
10/3/2022 0:00,33.5,0.24,0.005,33.7,,,82.7,3.77,0.037
10/4/2022 0:00,33.4,0.3,0.008,32.9,,,82.7,3.81,0.041
10/5/2022 0:00,33.4,0.32,0.009,32.9,,,82.7,3.77,0.035
10/6/2022 0:00,33.4,0.31,0.009,32.9,,,82.7,3.77,0.038
10/7/2022 0:00,33.5,0.24,0.005,36.8,,,82.8,3.74,0.036
10/8/2022 0:00,33.5,0.26,0.005,46.3,,,82.8,3.74,0.033
10/9/2022 0:00,33.5,0.28,0.006,34.8,,,82.8,3.72,0.031
10/10/2022 0:00,33.5,0.3,0.008,32.9,,,82.8,3.71,0.032
10/11/2022 0:00,33.4,0.32,0.01,32.5,,,82.7,3.85,0.047
10/12/2022 0:00,33.4,0.32,0.009,33.7,,,82.8,3.69,0.031
10/13/2022 0:00,33.4,0.31,0.009,32.5,,,82.8,3.7,0.03
10/14/2022 0:00,33.4,0.32,0.009,30.5,,,82.8,3.71,0.038
10/15/2022 0:00,33.2,0.52,0.114,32.5,,,81.8,4.75,0.48
10/16/2022 0:00,33.5,0.3,0.008,32.7,,,83,3.49,0.018
10/17/2022 0:00,33.4,0.31,0.009,50.4,,,83,3.52,0.019
10/18/2022 0:00,33.5,0.3,0.008,35.2,,,82.9,3.59,0.024
10/19/2022 0:00,33.5,0.26,0.008,33.8,,,82.7,3.78,0.039
10/20/2022 0:00,33.4,0.31,0.01,26.5,,,82.9,3.64,0.027
10/21/2022 0:00,33.4,0.34,0.011,38.5,,,82.8,3.7,0.03
10/22/2022 0:00,33.4,0.31,0.008,36.4,,,82.8,3.66,0.028
10/23/2022 0:00,33.5,0.26,0.006,51.6,,,82.9,3.59,0.023
10/24/2022 0:00,33.4,0.32,0.01,57.9,,,82.9,3.59,0.025
10/25/2022 0:00,33.5,0.21,0.004,53.7,,,82.9,3.61,0.024
10/26/2022 0:00,33.5,0.28,0.007,76.2,,,82.8,3.71,0.031
10/27/2022 0:00,33.4,0.31,0.009,50.4,,,82.8,3.71,0.033
10/28/2022 0:00,33.5,0.27,0.006,43.2,,,82.8,3.72,0.033
10/29/2022 0:00,33.5,0.28,0.006,68.2,,,82.8,3.73,0.034
10/30/2022 0:00,33.5,0.3,0.008,70.9,,,82.7,3.81,0.045
10/31/2022 0:00,33.3,0.44,0.03,47.4,,,82.7,3.84,0.05
11/1/2022 0:00,33.4,0.35,0.017,49.6,,,82.4,4.15,0.101
11/2/2022 0:00,33.4,0.39,0.03,35.8,,,82.4,4.14,0.123
11/3/2022 0:00,33.5,0.22,0.005,51.2,,,82.9,3.6,0.025
11/4/2022 0:00,33.5,0.25,0.005,62.3,,,83,3.54,0.018
11/5/2022 0:00,,,,,,,,,
11/6/2022 0:00,33.5,0.24,0.005,75.4,,,82.8,3.71,0.03
11/7/2022 0:00,33.3,0.47,0.063,39.5,,,81.4,5.09,0.526
11/8/2022 0:00,32.2,1.59,1.2,30,,,73.9,12.6,10.1
11/9/2022 0:00,33.2,0.54,0.112,60,,,81.5,5.01,0.658
11/10/2022 0:00,33.5,0.29,0.006,57.7,,,83.2,3.32,0.009
11/11/2022 0:00,33.5,0.23,0.004,54,,,83.3,3.2,0.004
11/12/2022 0:00,33.5,0.22,0.003,60.4,,,83.2,3.26,0.005
11/13/2022 0:00,33.5,0.27,0.006,57.2,,,83.2,3.32,0.008
11/14/2022 0:00,33.5,0.28,0.007,63.2,,,83.2,3.32,0.008
11/15/2022 0:00,33.5,0.27,0.01,53.4,,,83.2,3.34,0.009
11/16/2022 0:00,33.4,0.31,0.017,60.1,,,83.2,3.35,0.01
11/17/2022 0:00,33.5,0.28,0.01,76.3,,,83.2,3.33,0.009
11/18/2022 0:00,33.5,0.24,0.005,57.2,,,83,3.55,0.019
11/19/2022 0:00,33.5,0.28,0.008,75.1,,,83,3.51,0.018
11/20/2022 0:00,33.5,0.26,0.007,75.3,,,83.2,3.32,0.01
11/21/2022 0:00,33.5,0.28,0.01,76.8,,,83.2,3.31,0.009
11/22/2022 0:00,33.4,0.31,0.011,57.2,,,83,3.46,0.015
11/23/2022 0:00,33.4,0.35,0.042,76.4,,,82.9,3.55,0.021
11/24/2022 0:00,33.4,0.35,0.019,75.6,,,83,3.55,0.021
11/25/2022 0:00,33.5,0.25,0.006,72.9,,,83.2,3.34,0.011
11/26/2022 0:00,33.5,0.28,0.006,76.3,,,83,3.47,0.014
11/27/2022 0:00,33.4,0.32,0.014,76.3,,,82.9,3.6,0.023
11/28/2022 0:00,33.5,0.27,0.014,35.6,,,82.8,3.74,0.033
11/29/2022 0:00,33.4,0.31,0.026,44,,,82.8,3.71,0.032
11/30/2022 0:00,33.4,0.37,0.057,33.5,,,82.9,3.63,0.024
12/1/2022 0:00,33.4,0.31,0.049,54.2,,,82.9,3.64,0.026
12/2/2022 0:00,32.9,0.89,0.146,34.8,,,82.9,3.63,0.024
12/3/2022 0:00,32.7,1.1,0.217,52.9,,,83,3.54,0.019
12/4/2022 0:00,32.8,0.93,0.194,53.5,,,82.9,3.63,0.025
12/5/2022 0:00,33.3,0.44,0.091,38.5,,,82.8,3.69,0.048
12/6/2022 0:00,33.4,0.34,0.046,41.7,,,82.8,3.72,0.051
12/7/2022 0:00,33.5,0.29,0.019,63.1,,,82.8,3.66,0.04
12/8/2022 0:00,33.5,0.25,0.014,49.9,,,83,3.55,0.02
12/9/2022 0:00,33.5,0.28,0.016,53.2,,,82.9,3.57,0.021
12/10/2022 0:00,33.5,0.21,0.003,41.2,,,82.9,3.6,0.022
12/11/2022 0:00,32.9,0.9,0.56,41,,,78.5,8.03,4.41
12/12/2022 0:00,33.2,0.56,0.207,43.1,,,80.5,6.02,1.51
12/13/2022 0:00,33.6,0.19,0.004,36.6,,,83,3.48,0.015
12/14/2022 0:00,33.7,0.09,0.002,84.1,,,83.2,3.29,0.006
12/15/2022 0:00,33.6,0.12,0.003,83.6,,,83.2,3.32,0.008
12/16/2022 0:00,33.6,0.15,0.004,47.8,,,83.2,3.27,0.006
12/17/2022 0:00,33.7,0.09,0.001,79.1,,,83.2,3.27,0.006
12/18/2022 0:00,33.7,0.05,0,71.4,,,83.2,3.34,0.008
12/19/2022 0:00,33.6,0.11,0.003,62.6,,,83.2,3.34,0.009
12/20/2022 0:00,33.6,0.12,0.003,85.1,,,83.2,3.31,0.007
12/21/2022 0:00,33.7,0.08,0.002,80.9,,,83.2,3.26,0.007
12/22/2022 0:00,33.6,0.14,0.008,65.8,,,83.1,3.36,0.009
12/23/2022 0:00,33.6,0.18,0.009,82.9,,,83,3.47,0.015
12/24/2022 0:00,33.6,0.11,0.001,89.3,,,83,3.5,0.017
12/25/2022 0:00,33.7,0.09,0,89.3,,,83.1,3.43,0.014
12/26/2022 0:00,33.5,0.22,0.012,39.3,,,83.2,3.35,0.011
12/27/2022 0:00,33.3,0.41,0.099,37.5,,,81.9,4.6,0.601
12/28/2022 0:00,33.4,0.31,0.065,37.2,,,81.8,4.7,0.608
12/29/2022 0:00,33.6,0.17,0.003,55,,,83.1,3.38,0.01
12/30/2022 0:00,33.6,0.19,0.004,40.6,,,83.1,3.4,0.01
12/31/2022 0:00,32.8,0.91,0.858,38.7,,,79.5,7.01,5.21
1/1/2023 0:00,33,0.72,0.457,36.8,,,78.2,8.31,6.29
1/2/2023 0:00,33.5,0.21,0.006,40.2,,,82.7,3.81,0.052
1/3/2023 0:00,33.2,0.51,0.047,36.9,,,81.2,5.28,0.422
1/4/2023 0:00,33.1,0.63,0.098,,,,80.7,5.77,0.623
1/5/2023 0:00,32.7,1.07,0.548,,,,77.5,8.99,4.55
1/6/2023 0:00,33.6,0.15,0.003,,,,82.7,3.85,0.043
1/7/2023 0:00,33.6,0.18,0.002,37.2,,,83,3.51,0.016
1/8/2023 0:00,33.6,0.15,0.001,37.4,,,83,3.46,0.014
1/9/2023 0:00,33.4,0.32,0.033,38,,,82.2,4.28,0.253
1/10/2023 0:00,32.6,1.14,0.567,35,,,76.3,10.2,5.66
1/11/2023 0:00,33.6,0.16,0.003,35.6,,,82.5,3.97,0.056
1/12/2023 0:00,33.6,0.17,0.003,35.7,,,82.9,3.6,0.023
