"","Inst Time","Flow (cfs)"
"3","10/1/2022 0:00","14.8"
"4","10/2/2022 0:00","15.2"
"5","10/3/2022 0:00","15"
"6","10/4/2022 0:00","15"
"7","10/5/2022 0:00","15.1"
"8","10/6/2022 0:00","14.8"
"9","10/7/2022 0:00","14.8"
"10","10/8/2022 0:00","14.6"
"11","10/9/2022 0:00","14.6"
"12","10/10/2022 0:00","15.1"
"13","10/11/2022 0:00","15.7"
"14","10/12/2022 0:00","15.7"
"15","10/13/2022 0:00","14.8"
"16","10/14/2022 0:00","15"
"17","10/15/2022 0:00","19.1"
"18","10/16/2022 0:00","14.3"
"19","10/17/2022 0:00","14.3"
"20","10/18/2022 0:00","13.8"
"21","10/19/2022 0:00","13.9"
"22","10/20/2022 0:00","14.5"
"23","10/21/2022 0:00","14.6"
"24","10/22/2022 0:00","14.5"
"25","10/23/2022 0:00","14.1"
"26","10/24/2022 0:00","14.7"
"27","10/25/2022 0:00","14.4"
"28","10/26/2022 0:00","14.6"
"29","10/27/2022 0:00","14.5"
"30","10/28/2022 0:00","15.3"
"31","10/29/2022 0:00","14.8"
"32","10/30/2022 0:00","14.3"
"33","10/31/2022 0:00","15.1"
"34","11/1/2022 0:00","14.6"
"35","11/2/2022 0:00","19.5"
"36","11/3/2022 0:00","13.8"
"37","11/4/2022 0:00","14.1"
"38","11/5/2022 0:00",""
"39","11/6/2022 0:00","14"
"40","11/7/2022 0:00","16.6"
"41","11/8/2022 0:00","108"
"42","11/9/2022 0:00","124"
"43","11/10/2022 0:00","44.8"
"44","11/11/2022 0:00","7.42"
"45","11/12/2022 0:00","2.75"
"46","11/13/2022 0:00","3.76"
"47","11/14/2022 0:00","4.96"
"48","11/15/2022 0:00","4.96"
"49","11/16/2022 0:00","5.22"
"50","11/17/2022 0:00","6.07"
"51","11/18/2022 0:00","5.42"
"52","11/19/2022 0:00","5.29"
"53","11/20/2022 0:00","5.41"
"54","11/21/2022 0:00","6.45"
"55","11/22/2022 0:00","6.25"
"56","11/23/2022 0:00","6.31"
"57","11/24/2022 0:00","6.59"
"58","11/25/2022 0:00","7.24"
"59","11/26/2022 0:00","7.09"
"60","11/27/2022 0:00","7.21"
"61","11/28/2022 0:00","8.53"
"62","11/29/2022 0:00","8.05"
"63","11/30/2022 0:00","8.15"
"64","12/1/2022 0:00","8.1"
"65","12/2/2022 0:00","7.88"
"66","12/3/2022 0:00","7.21"
"67","12/4/2022 0:00","7.77"
"68","12/5/2022 0:00","8.77"
"69","12/6/2022 0:00",""
"70","12/7/2022 0:00",""
"71","12/8/2022 0:00",""
"72","12/9/2022 0:00",""
"73","12/10/2022 0:00",""
"74","12/11/2022 0:00",""
"75","12/12/2022 0:00",""
"76","12/13/2022 0:00",""
"77","12/14/2022 0:00",""
"78","12/15/2022 0:00",""
"79","12/16/2022 0:00",""
"80","12/17/2022 0:00",""
"81","12/18/2022 0:00",""
"82","12/19/2022 0:00",""
"83","12/20/2022 0:00",""
"84","12/21/2022 0:00",""
"85","12/22/2022 0:00",""
"86","12/23/2022 0:00",""
"87","12/24/2022 0:00",""
"88","12/25/2022 0:00",""
"89","12/26/2022 0:00",""
"90","12/27/2022 0:00",""
"91","12/28/2022 0:00",""
"92","12/29/2022 0:00",""
"93","12/30/2022 0:00",""
"94","12/31/2022 0:00",""
"95","1/1/2023 0:00",""
"96","1/2/2023 0:00",""
"97","1/3/2023 0:00",""
"98","1/4/2023 0:00",""
"99","1/5/2023 0:00",""
"100","1/6/2023 0:00",""
"101","1/7/2023 0:00","50.8"
"102","1/8/2023 0:00","22"
"103","1/9/2023 0:00","11"
"104","1/10/2023 0:00",""
"105","1/11/2023 0:00",""
"106","1/12/2023 0:00","67"
"107","1/13/2023 0:00","36.8"
"108","1/14/2023 0:00",""
"109","1/15/2023 0:00",""
"110","1/16/2023 0:00",""
"111","1/17/2023 0:00",""
"112","1/18/2023 0:00","72.5"
"113","1/19/2023 0:00","43.4"
"114","1/20/2023 0:00","29.9"
"115","1/21/2023 0:00","18.7"
"116","1/22/2023 0:00","12.1"
"117","1/23/2023 0:00","8.23"
"118","1/24/2023 0:00","6.43"
"119","1/25/2023 0:00","5.95"
"120","1/26/2023 0:00","5.36"
"121","1/27/2023 0:00","4.42"
"122","1/28/2023 0:00","3.44"
"123","1/29/2023 0:00","3.72"
"124","1/30/2023 0:00","17.8"
"125","1/31/2023 0:00","28.3"
"126","2/1/2023 0:00","18.8"
"127","2/2/2023 0:00","12.8"
"128","2/3/2023 0:00","8.75"
"129","2/4/2023 0:00","6.14"
"130","2/5/2023 0:00","4.58"
"131","2/6/2023 0:00","3.32"
"132","2/7/2023 0:00","2.61"
"133","2/8/2023 0:00","2.09"
"134","2/9/2023 0:00","1.94"
"135","2/10/2023 0:00","1.78"
"136","2/11/2023 0:00","1.75"
"137","2/12/2023 0:00","1.63"
"138","2/13/2023 0:00","1.72"
"139","2/14/2023 0:00","1.8"
"140","2/15/2023 0:00","1.46"
"141","2/16/2023 0:00","1.32"
"142","2/17/2023 0:00","1.28"
"143","2/18/2023 0:00","1.22"
"144","2/19/2023 0:00","1.27"
"145","2/20/2023 0:00","1.25"
"146","2/21/2023 0:00","1.54"
"147","2/22/2023 0:00","1.62"
"148","2/23/2023 0:00","7.24"
"149","2/24/2023 0:00","17.7"
"150","2/25/2023 0:00","167"
"151","2/26/2023 0:00","128"
"152","2/27/2023 0:00","80.5"
"153","2/28/2023 0:00","76.4"
"154","3/1/2023 0:00","123"
"155","3/2/2023 0:00","103"
"156","3/3/2023 0:00","69.1"
"157","3/4/2023 0:00","45.3"
"158","3/5/2023 0:00","29.7"
"159","3/6/2023 0:00","22.2"
"160","3/7/2023 0:00","15.7"
"161","3/8/2023 0:00","11.5"
"162","3/9/2023 0:00","9.26"
"163","3/10/2023 0:00","38.7"
"164","3/11/2023 0:00","118"
"165","3/12/2023 0:00",""
"166","3/13/2023 0:00",""
"167","3/14/2023 0:00","60.6"
"168","3/15/2023 0:00",""
"169","3/16/2023 0:00",""
"170","3/17/2023 0:00",""
"171","3/18/2023 0:00","54.1"
"172","3/19/2023 0:00",""
"173","3/20/2023 0:00",""
"174","3/21/2023 0:00",""
"175","3/22/2023 0:00",""
"176","3/23/2023 0:00",""
"177","3/24/2023 0:00",""
"178","3/25/2023 0:00","50"
"179","3/26/2023 0:00","35.9"
"180","3/27/2023 0:00","27"
"181","3/28/2023 0:00","21.4"
"182","3/29/2023 0:00","59.3"
"183","3/30/2023 0:00",""
"184","3/31/2023 0:00",""
"185","4/1/2023 0:00",""
"186","4/2/2023 0:00",""
"187","4/3/2023 0:00",""
"188","4/4/2023 0:00",""
"189","4/5/2023 0:00",""
"190","4/6/2023 0:00",""
"191","4/7/2023 0:00","12.7"
"192","4/8/2023 0:00",""
"193","4/9/2023 0:00","11"
"194","4/10/2023 0:00",""
"195","4/11/2023 0:00",""
"196","4/12/2023 0:00",""
"197","4/13/2023 0:00",""
"198","4/14/2023 0:00",""
"199","4/15/2023 0:00",""
"200","4/16/2023 0:00",""
"201","4/17/2023 0:00",""
"202","4/18/2023 0:00",""
"203","4/19/2023 0:00",""
"204","4/20/2023 0:00","9.95"
"205","4/21/2023 0:00","10.3"
"206","4/22/2023 0:00","9.97"
"207","4/23/2023 0:00","10.1"
"208","4/24/2023 0:00","10.5"
"209","4/25/2023 0:00",""
"210","4/26/2023 0:00",""
"211","4/27/2023 0:00","10.4"
"212","4/28/2023 0:00","10.6"
"213","4/29/2023 0:00","10.6"
"214","4/30/2023 0:00","10.7"
"215","5/1/2023 0:00","11"
"216","5/2/2023 0:00","10.8"
"217","5/3/2023 0:00","10.7"
"218","5/4/2023 0:00","34.7"
"219","5/5/2023 0:00","34.9"
"220","5/6/2023 0:00","28.9"
"221","5/7/2023 0:00","24.1"
"222","5/8/2023 0:00","20.7"
"223","5/9/2023 0:00","18.2"
"224","5/10/2023 0:00","15.7"
"225","5/11/2023 0:00","13.9"
