Facility.Identifier,avgCnx,PERSISTENTFLOW
L01-727-3,0,Unknown
L01-728-2,0.5,Yes
L01-728-3 (L01S02),1,Yes
L01-728-4,0.77,Unknown
L01-728-5 (L01-DP),0.4,Yes
L01-728-6,0,Unknown
L01-728-7 (L01S03),1,Yes
L01-728-8d,0.77,Unknown
L01-728-9,0.385,Unknown
L01-730-1,0.885,Yes
L01-731-1 (L08TBN2),0.77,Yes
L01-733-2,1,Yes
L01-733-4,0,Unknown
L01-733-5,0,Unknown
L01-733-7,0.77,Yes
L01-747-1,0.885,Yes
L01-747-2,0.77,Yes
L01-748-1,0.385,Unknown
L01-748-2,1,Yes
L01-749-2d,0.77,Yes
L01-749-3,0.385,Unknown
L01-749-5,1,Unknown
L01-760-1,0.385,Yes
L01-760-2,1,Yes
L01-766-2 (L01S06),0.885,Unknown
L01-766-3,1,Yes
L01-766-4,0,Unknown
L01-766-5,0.385,Unknown
L01-766-7,0,Unknown
L01-766-8,0,Unknown
L01-766-9,0.77,Yes
L02-166-1 (L02PXX),0.885,Unknown
L02-166-2 (L02P25),0.8466666666666667,Unknown
L02-166-3 (L02P26),0.77,Yes
L02-198-1 (L02P29),0.5,Yes
L02-204-1 (L02P45),0.77,Unknown
L02-246-1 (L11P01),0.9671428571428572,Yes
L02-344-1,0,Unknown
L02-344-2,0.77,Yes
L02-359-1 (L02P43),0.77,Yes
L02-366-1 (MVL02P14),0.77,Yes
L02-374-1 (L02P50),0.7914285714285715,Yes
L02-374-2 (MVL02P20),0.385,Unknown
L02-396-1,0.77,Yes
L02-401-1,1,Yes
L02-401-2 (COL02P55),0,Yes
L02-502-1,0.77,Unknown
L02-502-5,0.5,Unknown
L02-502-6,0.77,Unknown
L02-541-2,0,Unknown
L02-541-6,1,Yes
L02-541-7,0.385,Unknown
L02-541-9 (L02P02),0.385,Yes
L02-571-1,0,Unknown
L02-571-3,0.5,Yes
L02-571-5 (L02TBN2),0.75,Yes
L02-622-1 (L02P28),0.77,Unknown
L02-622-2 (L02P32),1,Yes
L02-640-1 (L11P02),0.885,Unknown
L02-641-1,1,Yes
L02-641-2,0.9233333333333333,Yes
L03-074-1 (L03B01),1,Yes
L03-074-2,0.885,Yes
L03-141-1,0.77,Yes
L03-141-2,0.77,Yes
L03-141-3,0.77,Yes
L03-142-1 (L03P24),0.77,Unknown
L03-172-2,0.385,Yes
L03-172-3,0.77,Yes
L03-214-2 (L03P18),1,Yes
L03-240-1 (L03P14),1,Yes
L03-241-3,0.885,Yes
L03-241-4,0.885,Yes
L03-316-1,0.635,Yes
L03-316-2,0.7566666666666667,Yes
L03-316-3 (L03P12),1,Yes
L03-316-4,0.885,Yes
L03-418-1,1,Yes
L03-418-2,0.885,Unknown
L03-418-3,0,Unknown
L03-418-8,1,Yes
L03-455-2,1,Unknown
L03-455-3 (L03P37),0,Unknown
L03-455-4,0.75,Unknown
L03-455-5,1,Unknown
L03-455-6,0,Unknown
L03-455-7,1,Yes
L03-497-1,0.635,Unknown
L03-662-1,1,Yes
L03-662-3 (L03P16),0.635,Yes
L03-691-1 (L03P09),0.75,Yes
L03-693-1 (L03P11),1,Yes
L03-708-1,1,Yes
L03-708-11 (L03P05),1,Yes
L03-708-13,1,Yes
L03-708-5,0,Unknown
L03-708-9,1,Yes
L04-136-1 (L04P07),0.635,Yes
L04-266-1,1,Yes
L04-266-5,1,Yes
L04-301-1 (L04P08),0.77,Yes
L04-672-1,0.8160000000000001,Yes
L04-702-1 (L04P02),0.885,Yes
L04-702-4,0,Unknown
L05-049-1,1,Yes
L05-049-2,1,Yes
L05-489-3,1,Yes
L05-489-3d,1,Yes
L05-489-4,1,Yes
L05-489-7,0.885,Yes
L05-503-1,1,Yes
LC01-11446-1,0,Yes
LC01-11480-1,0.885,Yes
LC02-11508-2,0.635,Yes
LC02-11508-3,0.385,Unknown
LC03-11515-1,0.25666666666666665,Unknown
LC04-11199-1,0.77,Unknown
LC05-11017-1,0.385,Unknown
LC05-11017-2,0,Yes
LC06-11019-1,1,Yes
LC06-11509-2,1,Yes
M00.1-070-4,0.77,Unknown
M00.1-070-6,0.77,Unknown
M00.1-071-2 (M00S04),0.77,Unknown
M00.1-071-3 (M00S04),0.9233333333333333,Yes
M00.2-066-1 (M00S07),0,Yes
M01-002-1,0.77,Unknown
M01-003-1,0.77,Unknown
M01-003-2,0.77,Unknown
M01-008-1,0.385,Unknown
M01-038-3,0.77,Yes
M01-038-6,0.885,Unknown
M01-042-1 (M01S01),0.9233333333333333,Yes
M01-047-1,1,Yes
M01-050-4 (M01@CGV),1,Yes
M01-050-7,0.5,Unknown
M01-060-3,0.5133333333333333,Unknown
M01-099-1,1,Yes
M01-124-2,1,Yes
M01-124-4,0,Unknown
M01-168-1d (M00P03),0.885,Unknown
