FacilityID,QInscfs
L01-726-5,0.014
M02-032-1,0.20817184999999996
L01-728-3 (L01S02),0.22153519499999996
K01-12036-10,0.06524363999999999
I01-11010-1,0.06275
LC05-11017-1,0
SC07-079-4,0.07510684499999999
L01-728-5 (L01-DP),0.007295779999999999
L03-418-3,0
L03-708-13,0.09127285499999999
K01-12159-3,0.016
L01-404-2,0.024
M02-085-2,0.39559931
J03-9368-2 (J03TBN2),0.02987707
J01-9273-1,0.004
L01-724-4 (L01P03),0.062
L01-726-7,0
I00-11453-1,0
L02-166-1 (L02PXX),0.01
K01-12177-1 (K01P07),0.086
L01-471-1,0.0208173
L01-458-1,0
SC11-035-2d,0
J01-10012-3,0
L05-503-1,0.11106930000000001
I00-11437-1,0.12764999999999999
M01-050-4 (M01@CGV),0.065482035
L03-455-7,0.01019789
J03-9215-3,0.06563211
L01-747-2,0.029396069999999996
L03-316-1,0.0015
J07-9110-3,0.00457286
L03-418-2,8.625e-4
J01-10006-3,0.14185434
SC07-079-5,0.41164778999999996
J07-9022-1,0.0035
L01-517-8,0
L01-261-1,0.0010591499999999998
L03-316-4,0.0035
J01-9224-1 (J01P24),0.023818985714285715
M02-086-1,0
L01-749-3,0.003
J01-9082-3,0
M01-168-1d (M00P03),0
M01-008-1,0
J05-9800-2,0
J03-9216-1 (J03P01),0
J03-9368-1 (J03TBN1),0.01004428
M01-003-2,0
L01-494-1,0.054
L01-514-1,0.003
L01-728-8d,0
I01-11195-1,0
L01-728-9,0
I01-11015-2,0
L01-335-1,0.01278777
M01-002-1,0
SC05-073-1,0
M01-003-1,0
I01-11487-1,0
SC05-073-3,0
L01-414-2,0
SC11-035-1d,0
J01-9377-2 (J01TBN8),0
I01-11023-2,0
