JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ORANGE CO,40026133.00551573,Dissolved,Demeton,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Diazinon,0.23529411764705882,ng/L,9417913.648356643,5.879406541512755e-4
ORANGE CO,40026133.00551573,Dissolved,Diazinon,0.23529411764705882,ng/L,9417913.648356643,5.879406541512755e-4
ORANGE CO,40026133.00551573,Total,"Dibenz[a,h]anthracene",1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,"Dibenz[a,h]anthracene",1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Dibenzothiophene,1.1029411764705883,ng/L,44146470.22667176,0.002755971816334104
ORANGE CO,40026133.00551573,Dissolved,Dibenzothiophene,1.1029411764705883,ng/L,44146470.22667176,0.002755971816334104
ORANGE CO,40026133.00551573,Total,Dichlorvos,1.411764705882353,ng/L,56507481.89013986,0.003527643924907654
ORANGE CO,40026133.00551573,Dissolved,Dichlorvos,1.411764705882353,ng/L,56507481.89013986,0.003527643924907654
ORANGE CO,40026133.00551573,Total,Dieldrin,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Dieldrin,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Dimethoate,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Dissolved,Dimethoate,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Total,Disulfoton,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Disulfoton,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Endosulfan-I,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Endosulfan-I,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Endosulfan-II,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Endosulfan-II,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Endosulfan Sulfate,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Endosulfan Sulfate,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Endrin,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Endrin,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Endrin Aldehyde,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Endrin Aldehyde,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Ethoprop (Ethoprofos),0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Ethoprop (Ethoprofos),0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Ethyl Parathion,4.705882352941177,ng/L,188358272.96713287,0.011758813083025512
ORANGE CO,40026133.00551573,Dissolved,Ethyl Parathion,4.705882352941177,ng/L,188358272.96713287,0.011758813083025512
ORANGE CO,40026133.00551573,Total,Fenchlorphos (Ronnel),0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Dissolved,Fenchlorphos (Ronnel),0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Total,Fensulfothion,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Fensulfothion,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Fenthion,0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Dissolved,Fenthion,0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Total,Fluoranthene,1.7515625,ng/L,70108273.59247364,0.0043767129086565845
ORANGE CO,40026133.00551573,Dissolved,Fluoranthene,1.7515625,ng/L,70108273.59247364,0.0043767129086565845
ORANGE CO,40026133.00551573,Total,Fluorene,1.7228571428571429,ng/L,68959309.14950281,0.004304985461217661
ORANGE CO,40026133.00551573,Dissolved,Fluorene,1.7228571428571429,ng/L,68959309.14950281,0.004304985461217661
ORANGE CO,40026133.00551573,Total,Heptachlor,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Heptachlor,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Heptachlor Epoxide,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Heptachlor Epoxide,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,"Indeno[1,2,3-cd]pyrene",1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,"Indeno[1,2,3-cd]pyrene",1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Malathion,14.480392156862745,ng/L,579594102.442615,0.036182847757559755
ORANGE CO,40026133.00551573,Dissolved,Malathion,14.480392156862745,ng/L,579594102.442615,0.036182847757559755
ORANGE CO,40026133.00551573,Total,Merphos,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Merphos,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Methoxychlor,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Methoxychlor,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Methyl Parathion,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,Methyl Parathion,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Total,Mevinphos (Phosdrin),2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Dissolved,Mevinphos (Phosdrin),2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Total,Mirex,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Dissolved,Mirex,1.1764705882352942,ng/L,47089568.24178322,0.002939703270756378
ORANGE CO,40026133.00551573,Total,Naphthalene,0.8201785714285714,ng/L,32828576.588273887,0.002049419384677935
ORANGE CO,40026133.00551573,Dissolved,Naphthalene,0.8201785714285714,ng/L,32828576.588273887,0.002049419384677935
ORANGE CO,40026133.00551573,Total,Phenanthrene,0.9895833333333334,ng/L,39609194.12004161,0.002472719157433099
ORANGE CO,40026133.00551573,Dissolved,Phenanthrene,0.9895833333333334,ng/L,39609194.12004161,0.002472719157433099
ORANGE CO,40026133.00551573,Total,Phorate,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Dissolved,Phorate,2.3529411764705883,ng/L,94179136.48356643,0.005879406541512756
ORANGE CO,40026133.00551573,Total,Pyrene,2.1734375,ng/L,86994298.45417559,0.00543087212840438
ORANGE CO,40026133.00551573,Dissolved,Pyrene,2.1734375,ng/L,86994298.45417559,0.00543087212840438
ORANGE CO,40026133.00551573,Total,Tetrachlorvinphos (Stirofos),0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Dissolved,Tetrachlorvinphos (Stirofos),0.9411764705882353,ng/L,37671654.59342657,0.002351762616605102
ORANGE CO,40026133.00551573,Total,Tokuthion (Prothiofos),1.411764705882353,ng/L,56507481.89013986,0.003527643924907654
ORANGE CO,40026133.00551573,Dissolved,Tokuthion (Prothiofos),1.411764705882353,ng/L,56507481.89013986,0.003527643924907654
ORANGE CO,40026133.00551573,Total,Toxaphene,8.9,ng/L,356232583.74909,0.022238855243271998
ORANGE CO,40026133.00551573,Dissolved,Toxaphene,8.9,ng/L,356232583.74909,0.022238855243271998
ORANGE CO,40026133.00551573,Total,trans-Nonachlor,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
ORANGE CO,40026133.00551573,Dissolved,trans-Nonachlor,0.47058823529411764,ng/L,18835827.296713285,0.001175881308302551
