FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
L05-489-3,ORANGE CO,0.34450000000000003,0.807645,0.34450000000000003,0.5572750499999999,0.34450000000000003,29764.800000000003,NA,0.6159429267048611,NA,53217.4688673,41491.134433650004,41491.134433650004
J01-9144-1 (J01P23),LAGUNA NIGUEL,0.0026666666666666666,0.018688,0.003,0.012894719999999998,0.003,259.2,0.004,NA,345.59999999999997,NA,NA,345.59999999999997
L01-766-7,SAN JUAN CAPISTRANO,NA,8.59e-4,NA,5.927099999999999e-4,5.927099999999999e-4,51.210143999999985,NA,NA,NA,NA,NA,51.210143999999985
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,0.036500000000000005,0.100282,0.035,0.06919457999999999,0.035,3024,NA,0.08014334614430532,NA,6924.38510686798,4974.19255343399,4974.19255343399
L03-316-3 (L03P12),MISSION VIEJO,0.06375,0.2691,0.294253685,0.18567899999999998,0.294253685,25423.518383999995,NA,0.32978081246993285,NA,28493.0621974022,26958.290290701098,26958.290290701098
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.001,0.009971,0.011355329999999999,0.00687999,0.011355329999999999,981.1005119999998,NA,NA,NA,NA,NA,981.1005119999998
L01-303-4,ORANGE CO,0.013,0.020775,NA,0.014334749999999999,0.013,1123.1999999999998,NA,NA,NA,NA,NA,1123.1999999999998
J01-9131-1 (J01P28),ALISO VIEJO,0.01225,0.070401,0.03336666666666666,0.04857669,0.03336666666666666,2882.8799999999997,0.015,NA,1295.9999999999998,NA,NA,1295.9999999999998
L03-708-9,LAGUNA NIGUEL,0.005,0.048275,0.048709514999999995,0.03330975,0.048709514999999995,4208.502096,NA,0.04103472222222222,NA,3545.3999999999996,3876.951048,3876.951048
J07-9109-1,MISSION VIEJO,0,0.008731,0,0.006024389999999999,0,0,NA,NA,NA,NA,NA,0
J07-9110-1,MISSION VIEJO,0.001,0.004715,NA,0.0032533499999999995,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
K01-12126-1 (K01S01),DANA POINT,0.122,0.455348,0.1605,0.31419011999999996,0.1605,13867.2,NA,NA,NA,NA,NA,13867.2
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,0.093346,0.113951085,0.06440873999999999,0.113951085,9845.373743999999,NA,0.04072199895845022,NA,3518.380710010099,6681.877227005049,6681.877227005049
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.027,0.166967,0.04487461166666666,0.11520723,0.04487461166666666,3877.166448,0.089,NA,7689.5999999999995,NA,NA,7689.5999999999995
L03-708-11 (L03P05),LAGUNA NIGUEL,0.0332,0.133895,0.08651596333333332,0.09238754999999998,0.08651596333333332,7474.979231999999,NA,0.020666666666666667,NA,1785.6000000000001,4630.289615999999,4630.289615999999
LC06-11019-1,LAGUNA BEACH,0.001,0.028496,0.001,0.019662239999999997,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
L01-404-2,ORANGE CO,0.025500000000000002,0.056201,0.024,0.03877869,0.024,2073.6,NA,NA,NA,NA,NA,2073.6
LC05-11017-2,LAGUNA BEACH,0.002,0.029091,0.0066925,0.020072789999999997,0.0066925,578.232,NA,NA,NA,NA,NA,578.232
