FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE,area_acres,JURISDICTI
J01-9005-3,LAGUNA NIGUEL,199.0983629,199.0950289,98.6151983,201.89063791,LAGUNA NIGUEL
J01-9007-1 (J02P05),ALISO VIEJO,147.0895875,142.9832949,98.19424307,145.61257767,ALISO VIEJO
J01-9007-1 (J02P05),ORANGE CO,2.629421282,2.629412085,1.805757306,145.61257767,ALISO VIEJO
J01-9008-1 (J01P30),ALISO VIEJO,217.6483557,211.5722774,100,211.57209037,ALISO VIEJO
J01-9031-1,LAKE FOREST,885.5128015,274.2825608,91.74566749,298.95942316,LAKE FOREST
J01-9033-1,LAKE FOREST,3.650391863,1.130688146,2.750781729,41.10421176,LAKE FOREST
J01-9033-1,ORANGE CO,67.9375126,39.97356139,97.24922177,41.10421176,LAKE FOREST
J01-9040-1,LAKE FOREST,471.6644063,146.0953709,99.97855453,146.1265793,LAKE FOREST
J01-9040-1,ORANGE CO,0.053260413,0.031337744,0.021445596,146.1265793,LAKE FOREST
J01-9046-1,LAKE FOREST,212.177672,65.72082879,100,65.72077069,LAKE FOREST
J01-9046-2,LAKE FOREST,148.7657188,46.07933644,99.38641043,46.36377902,LAKE FOREST
J01-9046-2,MISSION VIEJO,0.284485412,0.284484071,0.613590663,46.36377902,LAKE FOREST
J01-9046-3,LAKE FOREST,50.13144774,15.52793121,100,15.52791748,LAKE FOREST
J01-9066-1 (J01P04),LAKE FOREST,7.543042247,2.336414493,2.845060742,82.12170635,MISSION VIEJO
J01-9066-1 (J01P04),MISSION VIEJO,79.7857395,79.78536327,97.15493782,82.12170635,MISSION VIEJO
J01-9066-2 (J01P03),LAKE FOREST,11.10607353,3.440043196,0.818376545,420.34930926,MISSION VIEJO
J01-9066-2 (J01P03),MISSION VIEJO,416.9116038,416.9096378,99.18162349,420.34930926,MISSION VIEJO
J01-9082-2,ALISO VIEJO,125.4804575,121.9774259,97.84740395,124.66076066,ALISO VIEJO
J01-9082-2,ORANGE CO,2.683453208,2.683443822,2.152595119,124.66076066,ALISO VIEJO
J01-9082-3,ALISO VIEJO,125.4804575,121.9774259,97.84740395,124.66076066,ALISO VIEJO
J01-9082-3,ORANGE CO,2.683453208,2.683443822,2.152595119,124.66076066,ALISO VIEJO
J01-9082-4,ALISO VIEJO,125.4804575,121.9774259,97.84740395,124.66076066,ALISO VIEJO
J01-9082-4,ORANGE CO,2.683453208,2.683443822,2.152595119,124.66076066,ALISO VIEJO
J01-9131-1 (J01P28),ALISO VIEJO,294.6109612,286.3863217,100,286.38606854,ALISO VIEJO
J01-9144-1 (J01P23),ALISO VIEJO,180.4972394,175.458307,100,175.4581519,LAGUNA NIGUEL
J01-9144-4 (J01P26),ALISO VIEJO,199.0499998,193.493131,100,193.49295991,ALISO VIEJO
J01-9224-1 (J01P24),ALISO VIEJO,3.749306117,3.644636926,1.638278647,222.46726525,LAGUNA NIGUEL
J01-9224-1 (J01P24),LAGUNA NIGUEL,218.8264883,218.822824,98.36172091,222.46726525,LAGUNA NIGUEL
J01-9224-2 (J01P25),ALISO VIEJO,3.749306117,3.644636926,1.638278647,222.46726525,LAGUNA NIGUEL
J01-9224-2 (J01P25),LAGUNA NIGUEL,218.8264883,218.822824,98.36172091,222.46726525,LAGUNA NIGUEL
J01-9259-3,LAKE FOREST,454.3888664,140.7443706,99.99231896,140.75505759,LAKE FOREST
J01-9264-1 (J01P06),LAKE FOREST,2024.364351,627.0353599,92.08498047,680.93059513,LAKE FOREST
J01-9273-1,LAGUNA HILLS,1.934269084,1.590667771,5.183103927,30.68945533,LAGUNA WOODS
J01-9273-1,LAGUNA WOODS,67.54665774,29.09881518,94.81689767,30.68945533,LAGUNA WOODS
J01-9275-1,LAKE FOREST,87.17708866,27.00260807,99.64416058,27.09901317,LAKE FOREST
J01-9275-1,MISSION VIEJO,0.096430085,0.09642963,0.355841536,27.09901317,LAKE FOREST
J01-9275-2,LAKE FOREST,131.0980254,40.60686876,95.02628824,42.7322098,LAKE FOREST
J01-9275-2,MISSION VIEJO,2.125388846,2.1253788240000002,4.973711762,42.7322098,LAKE FOREST
J01-9313-1,ALISO VIEJO,140.2172729,136.3028343,99.21825221,137.37665275,ALISO VIEJO
J01-9313-1,ORANGE CO,1.073942056,1.073938299,0.781746628,137.37665275,ALISO VIEJO
J01-9349-1,LAKE FOREST,224.7127195,69.60348856,99.85177608,69.7067491,LAKE FOREST
J01-9349-1,MISSION VIEJO,0.103322473,0.103321986,0.14822366,69.7067491,LAKE FOREST
J01-9364-3 (J01P21),ALISO VIEJO,172.3457747,167.5344063,99.79799461,167.87337148,ORANGE CO
J01-9364-3 (J01P21),LAGUNA NIGUEL,0.338490288,0.33848462,0.20163074,167.87337148,ORANGE CO
J01-9364-3 (J01P21),ORANGE CO,6.29123e-4,6.2912e-4,3.74759e-4,167.87337148,ORANGE CO
J01-9364-4,ALISO VIEJO,43.02203244,41.82098851,98.79141639,42.33257611,ORANGE CO
J01-9364-4,ORANGE CO,0.511626536,0.511624746,1.208582942,42.33257611,ORANGE CO
J01-9377-1,LAKE FOREST,109.0691746,33.78355736,98.07444602,34.4468196,LAKE FOREST
J01-9377-1,MISSION VIEJO,0.663295369,0.663292241,1.925552671,34.4468196,LAKE FOREST
J01-9377-2 (J01TBN8),LAKE FOREST,214.1390631,66.32835854,67.39420978,98.41839547,LAKE FOREST
J01-9377-2 (J01TBN8),MISSION VIEJO,32.09027528,32.09012396,32.60579025,98.41839547,LAKE FOREST
J01-9782-1 (J01TBN3),LAKE FOREST,45.13515458,13.98035778,45.38061266,30.80686795,LAKE FOREST
J01-9782-1 (J01TBN3),MISSION VIEJO,16.82661742,16.82653807,54.6193895,30.80686795,LAKE FOREST
J01-9785-1,LAKE FOREST,68.62625727,21.25659341,100,21.25657462,LAKE FOREST
J01-9992-1 (J01P27),ALISO VIEJO,568.0809311,552.2218442,99.70754793,553.84107572999994,ALISO VIEJO
J01-9992-1 (J01P27),ORANGE CO,1.619726429,1.619720764,0.292452005,553.84107572999994,ALISO VIEJO
J03-9215-1,LAGUNA NIGUEL,65.12940169,65.12831109,100,65.12825351,LAGUNA NIGUEL
J03-9215-3,LAGUNA NIGUEL,155.2902966,155.2876962,100,155.28755892,LAGUNA NIGUEL
J03-9216-1 (J03P01),LAGUNA NIGUEL,13.41191678,13.41169219,100,13.41168034,LAGUNA NIGUEL
J03-9216-2,LAGUNA NIGUEL,1121.628952,1121.61017,99.85072453,1123.28596907,LAGUNA NIGUEL
J03-9216-2,SAN JUAN CAPISTRANO,1.676792619,1.676791419,0.149275428,1123.28596907,LAGUNA NIGUEL
J03-9221-1 (J03P02),LAGUNA NIGUEL,565.719346,565.709873,100,565.70937288,LAGUNA NIGUEL
J03-9234-5,LAGUNA NIGUEL,131.5020101,131.499808,100,131.49969178,LAGUNA NIGUEL
J03-9234-6,LAGUNA NIGUEL,230.4180534,230.414195,99.27752823,232.09078171,LAGUNA NIGUEL
J03-9234-6,SAN JUAN CAPISTRANO,1.676792619,1.676791419,0.722471579,232.09078171,LAGUNA NIGUEL
J03-9368-1 (J03TBN1),LAGUNA NIGUEL,91.152289,91.15076265,98.70823565,92.34354303,LAGUNA NIGUEL
J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,1.192862982,1.192862129,1.291764465,92.34354303,LAGUNA NIGUEL
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,34.23182653,34.23125331,100,34.23122305,LAGUNA NIGUEL
J04-9249-1,ALISO VIEJO,136.4020962,132.5941657,8.068009599,1643.4542726,LAGUNA NIGUEL
J04-9249-1,LAGUNA HILLS,1435.670475,1180.63964,71.83884675,1643.4542726,LAGUNA NIGUEL
J04-9249-1,LAGUNA NIGUEL,330.2274496,330.2219199,20.09314366,1643.4542726,LAGUNA NIGUEL
J05-9255-1 (J05P01),LAGUNA HILLS,85.17570945,70.04519538,100,70.04513345,LAGUNA HILLS
J05-9800-2,LAGUNA HILLS,30.97537965,25.47294919,100.0000004,25.47292658,LAGUNA HILLS
J06-10011-1 (J06P01),ALISO VIEJO,143.1188236,139.1233826,14.86516439,935.90125176,ALISO VIEJO
J06-10011-1 (J06P01),LAGUNA HILLS,237.2873008,195.1358603,20.85002958,935.90125176,ALISO VIEJO
J06-10011-1 (J06P01),LAGUNA WOODS,829.0781602,357.1633736,38.1624725,935.90125176,ALISO VIEJO
J06-10011-1 (J06P01),LAKE FOREST,693.7997852,214.9005429,22.96186189,935.90125176,ALISO VIEJO
J06-9079-1 (J06P03),ALISO VIEJO,368.9742325,358.6735973,98.05519597,365.7871229,ALISO VIEJO
J07-9022-1,MISSION VIEJO,82.52428975,82.52390061,100,82.52382766,MISSION VIEJO
J07-9109-2,LAKE FOREST,12.48046884,3.865754338,1.91711778,201.64389276,MISSION VIEJO
J07-9109-2,MISSION VIEJO,197.7792499,197.7783173,98.08288254,201.64389276,MISSION VIEJO
J07-9109-4 (J07P02),LAKE FOREST,16.25802004,5.035829366,1.275132081,394.92574829,MISSION VIEJO
