Facility Identifier,QInscfs
DP01-12022-1,NA
I00-11468-1,NA
I00-11518-1,NA
I00-11518-2,NA
I01-11023-1,NA
I01-11216-1 (I02P13),NA
I01-11216-2 (I02P12),NA
I01-11216-3,NA
I01-11216-4 (I02P14),NA
I01-11217-1,NA
I01-11343-1,NA
I01-11487-2,NA
I01-11502-1,NA
I01-11503-3,NA
I01-11503-5,NA
J01-10004-2,NA
J01-10006-1,NA
J01-10019-1 (J01P33),NA
J01-10041-2 (J03P13),NA
J01-9005-3,NA
J01-9031-1,NA
J01-9259-3,NA
J01-9313-1,NA
J01-9349-1,NA
J01-9364-3 (J01P21),NA
J01-9364-4,NA
J01-9782-1 (J01TBN3),NA
J03-9215-1,NA
J03-9216-5,NA
J03-9234-5,NA
J04-9249-1,NA
J05-9255-1 (J05P01),NA
J07-9109-2,NA
J07-9110-1,NA
K01-12062-1,NA
K01-12155-1,NA
K01-12156-1,NA
K01-12156-3,NA
L01-125-2,NA
L01-125-3,NA
L01-218-1,NA
L01-218-3,NA
L01-242-1 (L07P16),NA
L01-303-1,NA
L01-303-2,NA
L01-303-3,NA
L01-303-4,NA
L01-335-2,NA
L01-372-1,NA
L01-391-1,NA
L01-391-3,NA
L01-399-1,NA
L01-399-2,NA
L01-414-1,NA
L01-414-3,NA
L01-517-3,NA
L01-517-6,NA
L01-602-2,NA
L01-618-1,NA
L01-618-2,NA
L01-618-3,NA
L01-618-4,NA
L01-724-2,NA
L01-726-2,NA
L01-728-4,NA
L01-730-1,NA
L01-733-2,NA
L01-747-1,NA
L01-748-2,NA
L01-749-2d,NA
L01-749-5,NA
L01-766-7,NA
L01-766-9,NA
L02-344-2,NA
L02-359-1 (L02P43),NA
L02-401-1,NA
L02-401-2 (COL02P55),NA
L02-502-1,NA
L02-502-6,NA
L02-541-6,NA
L02-541-9 (L02P02),NA
L02-571-3,NA
L02-571-5 (L02TBN2),NA
L02-640-1 (L11P02),NA
L03-141-1,NA
L03-141-2,NA
L03-141-3,NA
L03-142-1 (L03P24),NA
L03-172-2,NA
L03-172-3,NA
L03-455-4,NA
L03-455-5,NA
L03-497-1,NA
L04-301-1 (L04P08),NA
L04-702-1 (L04P02),NA
LC01-11480-1,NA
LC04-11199-1,NA
M00.1-070-4,NA
M00.1-070-6,NA
M00.1-071-2 (M00S04),NA
M00.1-071-3 (M00S04),NA
M01-038-3,NA
M01-050-7,NA
M01-124-4,NA
M02-013-1,NA
M02-015-1,NA
M02-028-2 (M02P08),NA
M02-061-7,NA
M02-102-1,NA
M02-142-1,NA
SC01-077-2,NA
SC02-072-1,NA
SC02-072-4,NA
SC06-146-1 (M00P02),NA
SC10-075-1 (M00P05),NA
SM01-086-1 (M03P01),NA
SM01-086-2,NA
