JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA NIGUEL,Total,Acenaphthene,0.0022530509295248255,0.009222289001739412,0.011475339931264237
ALISO VIEJO,Total,Acenaphthene,4.3222356996996416e-4,7.698711009792715e-4,0.0012020946709492357
LAGUNA NIGUEL,Dissolved,Acenaphthene,0,0.009222289001739412,0.009222289001739412
ALISO VIEJO,Dissolved,Acenaphthene,0,7.698711009792715e-4,7.698711009792715e-4
ORANGE CO,Total,Acenaphthene,0.0025414016353270345,0.00287845945261562,0.005419861087942655
ORANGE CO,Dissolved,Acenaphthene,0,0.00287845945261562,0.00287845945261562
LAGUNA HILLS,Total,Acenaphthene,1.4352336690995313e-4,7.727552954214429e-4,9.162786623313961e-4
LAGUNA WOODS,Total,Acenaphthene,2.626953847615834e-4,0,2.626953847615834e-4
LAGUNA HILLS,Dissolved,Acenaphthene,0,7.727552954214429e-4,7.727552954214429e-4
DANA POINT,Total,Acenaphthene,6.870305658142226e-4,6.518925173852745e-4,0.001338923083199497
SAN JUAN CAPISTRANO,Total,Acenaphthene,6.654701205420973e-4,0.0020249426972061167,0.002690412817748214
DANA POINT,Dissolved,Acenaphthene,0,6.518925173852745e-4,6.518925173852745e-4
SAN JUAN CAPISTRANO,Dissolved,Acenaphthene,0,0.0020249426972061167,0.0020249426972061167
SAN CLEMENTE,Total,Acenaphthene,0.002919206272361645,0.0018337956287020085,0.004753001901063654
SAN CLEMENTE,Dissolved,Acenaphthene,0,0.0018337956287020085,0.0018337956287020085
LAGUNA BEACH,Total,Acenaphthene,5.82188961090112e-4,2.222260498399878e-4,8.044150109300998e-4
LAGUNA BEACH,Dissolved,Acenaphthene,0,2.222260498399878e-4,2.222260498399878e-4
LAKE FOREST,Total,Acenaphthylene,3.423617926308829e-4,1.3947649567537708e-4,4.8183828830626e-4
MISSION VIEJO,Total,Acenaphthylene,0.00569902302385291,0.0020554223892247027,0.0077544454130776125
LAKE FOREST,Dissolved,Acenaphthylene,0,1.3947649567537708e-4,1.3947649567537708e-4
MISSION VIEJO,Dissolved,Acenaphthylene,0,0.0020554223892247027,0.0020554223892247027
LAGUNA WOODS,Total,Acenaphthylene,2.6974768104342465e-4,0,2.6974768104342465e-4
LAGUNA WOODS,Dissolved,Acenaphthylene,0,0,0
RANCHO SANTA MARGARITA,Total,Acenaphthylene,0.0013279465453225954,0.002325348867418057,0.0036532954127406524
RANCHO SANTA MARGARITA,Dissolved,Acenaphthylene,0,0.002325348867418057,0.002325348867418057
LAGUNA NIGUEL,Total,Acenaphthylene,0.002160351105030369,0.0069840927044534035,0.009144443809483772
ALISO VIEJO,Total,Acenaphthylene,4.056574096822559e-4,5.695235182358307e-4,9.751809279180866e-4
LAGUNA NIGUEL,Dissolved,Acenaphthylene,0,0.0069840927044534035,0.0069840927044534035
ALISO VIEJO,Dissolved,Acenaphthylene,0,5.695235182358307e-4,5.695235182358307e-4
ORANGE CO,Total,Acenaphthylene,0.0025395047597338424,0.002755971816334104,0.005295476576067946
ORANGE CO,Dissolved,Acenaphthylene,0,0.002755971816334104,0.002755971816334104
LAGUNA HILLS,Total,Acenaphthylene,1.4352336690995313e-4,7.727552954214429e-4,9.162786623313961e-4
LAGUNA HILLS,Dissolved,Acenaphthylene,0,7.727552954214429e-4,7.727552954214429e-4
DANA POINT,Total,Acenaphthylene,6.870305658142226e-4,6.518925173852745e-4,0.001338923083199497
SAN JUAN CAPISTRANO,Total,Acenaphthylene,6.654701205420973e-4,0.0020249426972061167,0.002690412817748214
DANA POINT,Dissolved,Acenaphthylene,0,6.518925173852745e-4,6.518925173852745e-4
SAN JUAN CAPISTRANO,Dissolved,Acenaphthylene,0,0.0020249426972061167,0.0020249426972061167
SAN CLEMENTE,Total,Acenaphthylene,0.002735627863424797,0.0018337956287020085,0.004569423492126806
SAN CLEMENTE,Dissolved,Acenaphthylene,0,0.0018337956287020085,0.0018337956287020085
LAGUNA BEACH,Total,Acenaphthylene,5.82188961090112e-4,2.222260498399878e-4,8.044150109300998e-4
LAGUNA BEACH,Dissolved,Acenaphthylene,0,2.222260498399878e-4,2.222260498399878e-4
LAKE FOREST,Total,Aldrin,3.423617926308829e-4,1.3947649567537708e-4,4.8183828830626e-4
MISSION VIEJO,Total,Aldrin,0.004585893396727657,0.0013460526452028177,0.005931946041930475
LAKE FOREST,Dissolved,Aldrin,0,1.3947649567537708e-4,1.3947649567537708e-4
MISSION VIEJO,Dissolved,Aldrin,0,0.0013460526452028177,0.0013460526452028177
LAGUNA WOODS,Total,Aldrin,2.6974768104342465e-4,0,2.6974768104342465e-4
LAGUNA WOODS,Dissolved,Aldrin,0,0,0
RANCHO SANTA MARGARITA,Total,Aldrin,0.0015786653148336697,0.0025275531167587577,0.004106218431592428
RANCHO SANTA MARGARITA,Dissolved,Aldrin,0,0.0025275531167587577,0.0025275531167587577
LAGUNA NIGUEL,Total,Aldrin,0.002160351105030369,0.0069840927044534035,0.009144443809483772
