StationCode,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.07024999999999999,0.135838,0.062,0.09372821999999999,0.062
M02-052-2,SAN CLEMENTE,0.73,0.686261,0.54855,0.47352008999999995,0.54855
J03-9234-8,LAGUNA NIGUEL,0.079,0.344732,0.32714038500000003,0.23786507999999998,0.32714038500000003
L01-727-1 (L01S04),DANA POINT,NA,0.129248,0.46234829999999993,0.08918111999999999,0.46234829999999993
L01-747-2,SAN JUAN CAPISTRANO,0.02,0.026835,0.029396069999999996,0.01851615,0.029396069999999996
K01-12156-6,LAGUNA NIGUEL,0.39,0.56463699999999994,0.8516573399999999,0.3895995299999999,0.8516573399999999
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.016,0.051586,0.014602108333333332,0.035594339999999995,0.014602108333333332
SC11-130-2,DANA POINT,0.003,0.013885,0,0.00958065,0
L03-074-1 (L03B01),MISSION VIEJO,0.022666666666666665,0.197334,0.025,0.13616045999999998,0.025
K01-12159-2,DANA POINT,0.078,0.149132,0.09,0.10290107999999998,0.09
L03-691-1 (L03P09),MISSION VIEJO,0.097,0.31644,0.0833381,0.21834359999999997,0.0833381
K01-12159-3,DANA POINT,0.0115,0.02149,0.016,0.014828099999999999,0.016
L01-728-7 (L01S03),DANA POINT,0.018,0.147308,0.05157749999999999,0.10164251999999999,0.05157749999999999
J01-9785-1,LAKE FOREST,0.002,0.005869,0.002,0.0040496099999999995,0.002
L01-218-4,RANCHO SANTA MARGARITA,0.007333333333333333,0.026115,0.025376734999999997,0.018019349999999996,0.025376734999999997
L02-641-1,RANCHO SANTA MARGARITA,0.0075,0.050143,0.0075,0.03459867,0.0075
J06-9079-1 (J06P03),ALISO VIEJO,0.0283,0.140085,0.036333333333333336,0.09665864999999998,0.036333333333333336
L04-266-5,MISSION VIEJO,0.143,0.458897,0.27162643499999994,0.31663893,0.27162643499999994
J07-9022-1,MISSION VIEJO,0.0035,0.004493,0.0035,0.0031001699999999993,0.0035
L01-414-3,ORANGE CO,NA,0.232035,NA,0.16010414999999997,0.16010414999999997
DP04-12015-1,LAGUNA BEACH,0.008,0.010065,0.008,0.006944849999999999,0.008
J01-9377-1,LAKE FOREST,0,0.001816,8.100599999999999e-4,0.0012530399999999998,8.100599999999999e-4
L01-726-5,DANA POINT,0.01075,0.015596,0.014,0.01076124,0.014
I01-11343-2 (I02P18),LAGUNA WOODS,0.0016666666666666668,0.007131,0.0025,0.00492039,0.0025
J03-9368-1 (J03TBN1),LAGUNA NIGUEL,0.003,0.005115,0.01004428,0.0035293499999999997,0.01004428
L03-455-2,SAN JUAN CAPISTRANO,0.001,0.005791,0,0.00399579,0
L03-142-1 (L03P24),RANCHO SANTA MARGARITA,0.0015,0.018174,NA,0.012540059999999999,0.0015
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,0.048,0.241467,0.0395,0.16661222999999997,0.0395
L05-489-3d,ORANGE CO,1.115,1.889189,0.7052765999999999,1.3035404099999999,0.7052765999999999
M01-042-1 (M01S01),SAN CLEMENTE,0.0015,0.013196,0.0021198700000000003,0.009105239999999999,0.0021198700000000003
L01-458-1,ORANGE CO,0,6.75e-4,0,4.6574999999999996e-4,0
M01-047-1,SAN CLEMENTE,0.141,0.325881,0.19469999999999998,0.22485788999999998,0.19469999999999998
L03-418-8,LAGUNA NIGUEL,0.083,0.142936,0.166735,0.09862583999999999,0.166735
L03-172-2,MISSION VIEJO,NA,0.013291,NA,0.00917079,0.00917079
L04-672-1,MISSION VIEJO,0.0902,0.213365,0.11614316999999999,0.14722185,0.11614316999999999
L05-489-3,ORANGE CO,0.34450000000000003,0.807645,0.34450000000000003,0.5572750499999999,0.34450000000000003
J01-9144-1 (J01P23),LAGUNA NIGUEL,0.0026666666666666666,0.018688,0.003,0.012894719999999998,0.003
L01-766-7,SAN JUAN CAPISTRANO,NA,8.59e-4,NA,5.927099999999999e-4,5.927099999999999e-4
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,0.036500000000000005,0.100282,0.035,0.06919457999999999,0.035
L03-316-3 (L03P12),MISSION VIEJO,0.06375,0.2691,0.294253685,0.18567899999999998,0.294253685
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.001,0.009971,0.011355329999999999,0.00687999,0.011355329999999999
L01-303-4,ORANGE CO,0.013,0.020775,NA,0.014334749999999999,0.013
J01-9131-1 (J01P28),ALISO VIEJO,0.01225,0.070401,0.03336666666666666,0.04857669,0.03336666666666666
L03-708-9,LAGUNA NIGUEL,0.005,0.048275,0.048709514999999995,0.03330975,0.048709514999999995
J07-9109-1,MISSION VIEJO,0,0.008731,0,0.006024389999999999,0
J07-9110-1,MISSION VIEJO,0.001,0.004715,NA,0.0032533499999999995,0.001
K01-12126-1 (K01S01),DANA POINT,0.122,0.455348,0.1605,0.31419011999999996,0.1605
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,NA,0.093346,0.113951085,0.06440873999999999,0.113951085
K01-12058-1 (K01P08),LAGUNA NIGUEL,0.027,0.166967,0.04487461166666666,0.11520723,0.04487461166666666
L03-708-11 (L03P05),LAGUNA NIGUEL,0.0332,0.133895,0.08651596333333332,0.09238754999999998,0.08651596333333332
