StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
ALISO_RAINTREE,LAKE FOREST,0.084,NA,0.20333333333333334,0.621,0.20333333333333334
ALISO_RAINTREE,LAKE FOREST,0.178,NA,0.20333333333333334,0.621,0.20333333333333334
L03-316-3 (L03P12),MISSION VIEJO,0.071,NA,0.06375,NA,0.06375
L03-316-3 (L03P12),MISSION VIEJO,0.026,NA,0.06375,NA,0.06375
L03-316-3 (L03P12),MISSION VIEJO,0.07,NA,0.06375,NA,0.06375
L03-316-3 (L03P12),MISSION VIEJO,0.088,NA,0.06375,NA,0.06375
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,0.001,NA,0.001,NA,0.001
L01-303-4,ORANGE CO,0.001,NA,0.013,NA,0.013
L01-303-4,ORANGE CO,0.019,NA,0.013,NA,0.013
L01-303-4,ORANGE CO,0.019,NA,0.013,NA,0.013
J01-9131-1 (J01P28),ALISO VIEJO,0.011,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.03,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.008,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.013,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.007,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.013,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0.016,NA,0.01225,NA,0.01225
J01-9131-1 (J01P28),ALISO VIEJO,0,NA,0.01225,NA,0.01225
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.247,0.89,0.39085714285714285,0.89,0.39085714285714285
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.371,NA,0.39085714285714285,0.89,0.39085714285714285
"SULPHUR_INLET_LNL
",LAGUNA NIGUEL,0.236,NA,0.39085714285714285,0.89,0.39085714285714285
