Station,date,Flow_cfs_md
K01-12126-1,2019-10-24,0.17166307674792805
K01-12126-1,2019-10-25,0.15288811126468801
K01-12126-1,2019-10-26,0.13249741851065291
K01-12126-1,2019-10-27,0.1769602881065955
K01-12126-1,2019-10-28,0.1823680875178618
K01-12126-1,2019-10-29,0.16656237565763235
K01-12126-1,2019-10-30,0.1621915205083211
K01-12126-1,2019-10-31,0.14396016987974455
K01-12126-1,2019-11-01,0.17064685787887574
K01-12126-1,2019-11-02,0.19720657019240767
K01-12126-1,2019-11-03,0.18061328174422628
K01-12126-1,2019-11-04,0.18518112464904785
K01-12126-1,2019-11-05,0.18208227206698327
K01-12126-1,2019-11-08,0.17782595720867775
K01-12126-1,2019-11-09,0.20129580237148126
K01-12126-1,2019-11-18,0.17564025077514642
K01-12138-1 (K01TBN1),2016-08-12,0.013408686687930728
K01-12138-1 (K01TBN1),2016-08-13,0.003953206753253942
K01-12138-1 (K01TBN1),2016-08-14,0.003953206753253942
K01-12138-1 (K01TBN1),2016-08-15,0.003953206753253942
L01-372-1,2016-11-16,0.009668858121807886
L01-372-1,2016-11-17,0.01437539914869843
L01-372-1,2016-11-18,0.01146199687807203
L01-372-1,2016-11-19,0.01337310801428239
L01-372-1,2016-11-20,0.21123451979314825
L01-372-1,2016-11-21,0.4889476587966194
L01-372-1,2016-11-22,0.017310423827876748
L01-372-1,2016-11-23,0.014376100246640716
L01-372-1,2016-11-24,0.011969129538631232
L01-372-1,2016-11-25,0.009200905992155868
L01-372-1,2016-11-26,0.5001456466737405
L01-372-1,2016-11-27,0.3193647752240419
L01-372-1,2016-11-28,0.021958798373375495
L01-372-1,2016-11-29,0.013103015127243775
L01-372-1,2016-11-30,0.01270942623986183
L01-372-1,2016-12-01,0.011950058778580241
L01-372-1,2016-12-02,0.031845882210841475
L01-372-1,2016-12-03,0.020693871378826213
L01-372-1,2016-12-04,0.012134882095777967
L01-372-1,2016-12-05,0.012101865570512951
L01-372-1,2016-12-06,0.013430682997940516
L01-372-1,2016-12-07,0.01510695372154459
L01-372-1,2016-12-08,0.03997315816064297
L01-724-1 (L01S01),2016-07-12,3.097125688348921
L01-724-1 (L01S01),2016-07-13,0.03300817909465233
L01-724-1 (L01S01),2016-07-14,0.03673815105832947
L01-724-1 (L01S01),2016-07-15,0.03637532880029412
L01-724-1 (L01S01),2016-07-16,0.034133972004875536
L01-724-1 (L01S01),2016-07-17,0.030354742547134547
L01-724-1 (L01S01),2016-07-18,0.037120788227521705
L01-724-1 (L01S01),2016-07-19,0.04341776584507855
