Facility.Identifier,avgCnx,PERSISTENTFLOW,avgCnx2,,,,
K01-12159-2,1,Yes,Direct,,,,
K01-12159-3,1,Yes,Direct,,,,
K01-12177-1 (K01P07),0.885,Yes,Partial,,,,
L01-125-1,0.885,Yes,Partial,,,,
L01-125-2,0.885,Yes,Partial,,,,
L01-125-3,0.885,Unknown,Partial,,,,
L01-218-1,1,Yes,Direct,,,,
L01-218-2,1,Yes,Direct,,,,
L01-218-3,0.5,Yes,Partial,,,,
L01-218-4,1,Yes,Direct,,,,
L01-223-1 (L08TBN1),0.77,Yes,Unknown,,,,
L01-242-1 (L07P16),0.77,Yes,Unknown,,,,
L01-261-1,1,Yes,Direct,,,,
L01-303-1,0.5,Yes,Partial,,,,
L01-303-2,0.77,Yes,Unknown,,,,
L01-303-3,0.77,Unknown,Unknown,,,,
L01-303-4,0.77,Unknown,Unknown,,,,
L01-303-5,0.5,Yes,Partial,,,,
L01-335-1,0.385,Yes,Partial,,,,
L01-335-2,0,Unknown,None,,,,
L01-340-1,0.885,Yes,Partial,,,,
L01-372-1,0.5,Yes,Partial,,,,
L01-391-1,1,Yes,Direct,,,,
L01-391-3,0.77,Unknown,Unknown,,,,
L01-399-1,0.77,Unknown,Unknown,,,,
L01-399-2,0.77,Unknown,Unknown,,,,
L01-404-1,0.77,Yes,Unknown,,,,
L01-404-2,0.885,Yes,Partial,,,,
L01-414-1,0,Yes,None,,,,
L01-414-2,0.77,Unknown,Unknown,,,,
L01-414-3,0.75,Yes,Partial,,,,
L01-458-1,0.385,Unknown,Partial,,,,
L01-471-1,0.25,Unknown,Partial,,,,
L01-494-1,0.77,Yes,Unknown,,,,
L01-514-1,0.513333333,Yes,Partial,,,,
L01-517-1,0.385,Unknown,Partial,,,,
L01-517-2,0,Unknown,None,,,,
L01-517-3,0.77,Unknown,Unknown,,,,
L01-517-6,0.77,Unknown,Unknown,,,,
L01-517-7,0.385,Unknown,Partial,,,,
L01-517-8,0,Unknown,None,,,,
L01-556-1,0.885,Unknown,Partial,,,,
L01-601-1,0,Unknown,None,,,,
L01-602-2,0.385,Yes,Partial,,,,
L01-613-1,1,Yes,Direct,,,,
L01-618-1,0.5,Yes,Partial,,,,
L01-618-2,0.385,Yes,Partial,,,,
L01-618-3,0.385,Unknown,Partial,,,,
L01-618-4,0,Unknown,None,,,,
L01-618-5 (L01S09),1,Yes,Direct,,,,
L01-724-1 (L01S01),1,Yes,Direct,,,,
L01-724-2,0.77,Unknown,Unknown,,,,
L01-724-4 (L01P03),1,Yes,Direct,,,,
L01-726-2,0.75,Unknown,Partial,,,,
L01-726-3,0,Unknown,None,,,,
L01-726-5,1,Yes,Direct,,,,
L01-726-6,0.385,Unknown,Partial,,,,
L01-726-7,0,Unknown,None,,,,
L01-726-8,0,Unknown,None,,,,
L01-726-9,0,Unknown,None,,,,
L01-727-1 (L01S04),1,Unknown,Direct,,,,
L01-727-2,0.385,Unknown,Partial,,,,
L01-727-3,0,Unknown,None,,,,
L01-728-2,0.5,Yes,Partial,,,,
L01-728-3 (L01S02),1,Yes,Direct,,,,
L01-728-4,0.77,Unknown,Unknown,,,,
L01-728-5 (L01-DP),0.4,Yes,Partial,,,,
L01-728-6,0,Unknown,None,,,,
L01-728-7 (L01S03),1,Yes,Direct,,,,
L01-728-8d,0.77,Unknown,Unknown,,,,
L01-728-9,0.385,Unknown,Partial,,,,
L01-730-1,0.885,Yes,Partial,,,,
L01-731-1 (L08TBN2),0.77,Yes,Unknown,,,,
L01-733-2,1,Yes,Direct,,,,
L01-733-4,0,Unknown,None,,,,
L01-733-5,0,Unknown,None,,,,
L01-733-7,0.77,Yes,Unknown,,,,
L01-747-1,0.885,Yes,Partial,,,,
L01-747-2,0.77,Yes,Unknown,,,,
L01-748-1,0.385,Unknown,Partial,,,,
