JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA HILLS,Dissolved,"4,4'-DDD",0.5,ng/L
DANA POINT,Total,"4,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDD",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDD",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDD",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDD",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDD",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDD",0.5,ng/L
LAKE FOREST,Total,"4,4'-DDE",0.5,ng/L
MISSION VIEJO,Total,"4,4'-DDE",0.5,ng/L
LAKE FOREST,Dissolved,"4,4'-DDE",0.5,ng/L
MISSION VIEJO,Dissolved,"4,4'-DDE",0.5,ng/L
LAGUNA WOODS,Total,"4,4'-DDE",0.5,ng/L
LAGUNA WOODS,Dissolved,"4,4'-DDE",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDE",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDE",0.5,ng/L
ALISO VIEJO,Total,"4,4'-DDE",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"4,4'-DDE",0.5,ng/L
ALISO VIEJO,Dissolved,"4,4'-DDE",0.48148148148148145,ng/L
ORANGE CO,Total,"4,4'-DDE",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"4,4'-DDE",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"4,4'-DDE",0.5,ng/L
LAGUNA HILLS,Dissolved,"4,4'-DDE",0.5,ng/L
DANA POINT,Total,"4,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDE",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDE",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDE",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDE",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDE",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDE",0.5,ng/L
LAKE FOREST,Total,"4,4'-DDT",0.5,ng/L
MISSION VIEJO,Total,"4,4'-DDT",0.5,ng/L
LAKE FOREST,Dissolved,"4,4'-DDT",0.5,ng/L
MISSION VIEJO,Dissolved,"4,4'-DDT",0.5,ng/L
LAGUNA WOODS,Total,"4,4'-DDT",0.5,ng/L
LAGUNA WOODS,Dissolved,"4,4'-DDT",0.5,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",0.46296296296296297,ng/L
RANCHO SANTA MARGARITA,Dissolved,"4,4'-DDT",0.46296296296296297,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDT",0.5,ng/L
ALISO VIEJO,Total,"4,4'-DDT",0.48148148148148145,ng/L
LAGUNA NIGUEL,Dissolved,"4,4'-DDT",0.5,ng/L
ALISO VIEJO,Dissolved,"4,4'-DDT",0.48148148148148145,ng/L
ORANGE CO,Total,"4,4'-DDT",0.47058823529411764,ng/L
ORANGE CO,Dissolved,"4,4'-DDT",0.47058823529411764,ng/L
LAGUNA HILLS,Total,"4,4'-DDT",0.5,ng/L
LAGUNA HILLS,Dissolved,"4,4'-DDT",0.5,ng/L
DANA POINT,Total,"4,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",0.5,ng/L
DANA POINT,Dissolved,"4,4'-DDT",0.5,ng/L
SAN JUAN CAPISTRANO,Dissolved,"4,4'-DDT",0.5,ng/L
SAN CLEMENTE,Total,"4,4'-DDT",0.4444444444444444,ng/L
SAN CLEMENTE,Dissolved,"4,4'-DDT",0.4444444444444444,ng/L
LAGUNA BEACH,Total,"4,4'-DDT",0.5,ng/L
LAGUNA BEACH,Dissolved,"4,4'-DDT",0.5,ng/L
LAKE FOREST,Total,Acenaphthene,1.25,ng/L
MISSION VIEJO,Total,Acenaphthene,1.25,ng/L
LAKE FOREST,Dissolved,Acenaphthene,1.25,ng/L
MISSION VIEJO,Dissolved,Acenaphthene,1.25,ng/L
LAGUNA WOODS,Dissolved,Acenaphthene,0.8333333333333334,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthene,1.1574074074074074,ng/L
RANCHO SANTA MARGARITA,Dissolved,Acenaphthene,1.1574074074074074,ng/L
LAGUNA NIGUEL,Total,Acenaphthene,1.6505882352941177,ng/L
ALISO VIEJO,Total,Acenaphthene,1.564561403508772,ng/L
LAGUNA NIGUEL,Dissolved,Acenaphthene,1.6505882352941177,ng/L
ALISO VIEJO,Dissolved,Acenaphthene,1.564561403508772,ng/L
ORANGE CO,Total,Acenaphthene,1.1519607843137256,ng/L
ORANGE CO,Dissolved,Acenaphthene,1.1519607843137256,ng/L
LAGUNA HILLS,Total,Acenaphthene,1.25,ng/L
LAGUNA WOODS,Total,Acenaphthene,0.8333333333333334,ng/L
LAGUNA HILLS,Dissolved,Acenaphthene,1.25,ng/L
DANA POINT,Total,Acenaphthene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthene,1.25,ng/L
DANA POINT,Dissolved,Acenaphthene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Acenaphthene,1.25,ng/L
SAN CLEMENTE,Total,Acenaphthene,1.0416666666666667,ng/L
SAN CLEMENTE,Dissolved,Acenaphthene,1.0416666666666667,ng/L
LAGUNA BEACH,Total,Acenaphthene,1.25,ng/L
LAGUNA BEACH,Dissolved,Acenaphthene,1.25,ng/L
LAKE FOREST,Total,Acenaphthylene,1.25,ng/L
MISSION VIEJO,Total,Acenaphthylene,1.90875,ng/L
LAKE FOREST,Dissolved,Acenaphthylene,1.25,ng/L
MISSION VIEJO,Dissolved,Acenaphthylene,1.90875,ng/L
LAGUNA WOODS,Total,Acenaphthylene,1.25,ng/L
LAGUNA WOODS,Dissolved,Acenaphthylene,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthylene,1.0648148148148149,ng/L
RANCHO SANTA MARGARITA,Dissolved,Acenaphthylene,1.0648148148148149,ng/L
LAGUNA NIGUEL,Total,Acenaphthylene,1.25,ng/L
ALISO VIEJO,Total,Acenaphthylene,1.1574074074074074,ng/L
LAGUNA NIGUEL,Dissolved,Acenaphthylene,1.25,ng/L
ALISO VIEJO,Dissolved,Acenaphthylene,1.1574074074074074,ng/L
ORANGE CO,Total,Acenaphthylene,1.1029411764705883,ng/L
ORANGE CO,Dissolved,Acenaphthylene,1.1029411764705883,ng/L
LAGUNA HILLS,Total,Acenaphthylene,1.25,ng/L
LAGUNA HILLS,Dissolved,Acenaphthylene,1.25,ng/L
DANA POINT,Total,Acenaphthylene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthylene,1.25,ng/L
DANA POINT,Dissolved,Acenaphthylene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Acenaphthylene,1.25,ng/L
SAN CLEMENTE,Total,Acenaphthylene,1.0416666666666667,ng/L
SAN CLEMENTE,Dissolved,Acenaphthylene,1.0416666666666667,ng/L
LAGUNA BEACH,Total,Acenaphthylene,1.25,ng/L
LAGUNA BEACH,Dissolved,Acenaphthylene,1.25,ng/L
LAKE FOREST,Total,Aldrin,1.25,ng/L
MISSION VIEJO,Total,Aldrin,1.25,ng/L
LAKE FOREST,Dissolved,Aldrin,1.25,ng/L
MISSION VIEJO,Dissolved,Aldrin,1.25,ng/L
LAGUNA WOODS,Total,Aldrin,1.25,ng/L
LAGUNA WOODS,Dissolved,Aldrin,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Aldrin,1.1574074074074074,ng/L
RANCHO SANTA MARGARITA,Dissolved,Aldrin,1.1574074074074074,ng/L
LAGUNA NIGUEL,Total,Aldrin,1.25,ng/L
ALISO VIEJO,Total,Aldrin,1.2037037037037037,ng/L
LAGUNA NIGUEL,Dissolved,Aldrin,1.25,ng/L
ALISO VIEJO,Dissolved,Aldrin,1.2037037037037037,ng/L
ORANGE CO,Total,Aldrin,1.1764705882352942,ng/L
ORANGE CO,Dissolved,Aldrin,1.1764705882352942,ng/L
LAGUNA HILLS,Total,Aldrin,1.25,ng/L
LAGUNA HILLS,Dissolved,Aldrin,1.25,ng/L
DANA POINT,Total,Aldrin,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Aldrin,1.25,ng/L
DANA POINT,Dissolved,Aldrin,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Aldrin,1.25,ng/L
SAN CLEMENTE,Total,Aldrin,1.1111111111111112,ng/L
SAN CLEMENTE,Dissolved,Aldrin,1.1111111111111112,ng/L
LAGUNA BEACH,Total,Aldrin,1.25,ng/L
LAGUNA BEACH,Dissolved,Aldrin,1.25,ng/L
LAKE FOREST,Total,Anthracene,1,ng/L
LAKE FOREST,Dissolved,Anthracene,1,ng/L
MISSION VIEJO,Dissolved,Anthracene,1.1538461538461537,ng/L
MISSION VIEJO,Total,Anthracene,1.1538461538461537,ng/L
LAGUNA WOODS,Total,Anthracene,1.25,ng/L
LAGUNA WOODS,Dissolved,Anthracene,1.25,ng/L
RANCHO SANTA MARGARITA,Total,Anthracene,1.1111111111111112,ng/L
RANCHO SANTA MARGARITA,Dissolved,Anthracene,1.1111111111111112,ng/L
LAGUNA NIGUEL,Total,Anthracene,1.25,ng/L
ALISO VIEJO,Total,Anthracene,1.2037037037037037,ng/L
LAGUNA NIGUEL,Dissolved,Anthracene,1.25,ng/L
ALISO VIEJO,Dissolved,Anthracene,1.2037037037037037,ng/L
ORANGE CO,Total,Anthracene,1.1519607843137256,ng/L
ORANGE CO,Dissolved,Anthracene,1.1519607843137256,ng/L
LAGUNA HILLS,Total,Anthracene,1.25,ng/L
LAGUNA HILLS,Dissolved,Anthracene,1.25,ng/L
DANA POINT,Total,Anthracene,1.25,ng/L
SAN JUAN CAPISTRANO,Total,Anthracene,1.25,ng/L
DANA POINT,Dissolved,Anthracene,1.25,ng/L
SAN JUAN CAPISTRANO,Dissolved,Anthracene,1.25,ng/L
SAN CLEMENTE,Total,Anthracene,1.1111111111111112,ng/L
SAN CLEMENTE,Dissolved,Anthracene,1.1111111111111112,ng/L
LAGUNA BEACH,Total,Anthracene,1.25,ng/L
LAGUNA BEACH,Dissolved,Anthracene,1.25,ng/L
