FACILITYID,area_acres,JURISDICTI
L03-455-3 (L03P37),72.14698507,SAN JUAN CAPISTRANO
L03-455-5,23.75471305,LAGUNA NIGUEL
L03-455-6,5.33953354,LAGUNA NIGUEL
L03-455-7,64.2143521,LAGUNA NIGUEL
L03-497-1,45.51756325,SAN JUAN CAPISTRANO
L03-662-1,86.29094428,MISSION VIEJO
L03-693-1 (L03P11),279.81210476,MISSION VIEJO
L03-708-1,108.98900254,LAGUNA NIGUEL
L03-708-11 (L03P05),171.70778799,LAGUNA NIGUEL
L03-708-13,64.06432828,LAGUNA NIGUEL
L03-708-5,28.84826742,LAGUNA NIGUEL
L04-266-1,54.2802175,MISSION VIEJO
L04-266-5,577.85257612,MISSION VIEJO
L04-301-1 (L04P08),191.83607914,MISSION VIEJO
L04-702-1 (L04P02),84.3662671,MISSION VIEJO
L04-702-4,374.77459069,MISSION VIEJO
LC01-11446-1,178.33264473,LAGUNA BEACH
LC02-11508-3,319.65476129,LAGUNA BEACH
LC05-11017-1,63.88315303,LAGUNA BEACH
LC06-11019-1,60.81426308,LAGUNA BEACH
LC06-11509-2,51.8633,LAGUNA BEACH
M00.1-070-4,137.0917445,SAN CLEMENTE
M00.1-071-2 (M00S04),416.85960898,SAN CLEMENTE
M00.1-071-3 (M00S04),101.01259909,SAN CLEMENTE
M00.2-066-1 (M00S07),136.33710933,SAN CLEMENTE
M02-013-1,43.17862585,SAN CLEMENTE
M02-015-1,65.88798185,SAN CLEMENTE
M02-028-2 (M02P08),221.16825465,SAN CLEMENTE
M02-052-3,178.5046065,SAN CLEMENTE
M02-061-4 (SCBS@M02),90.38163929,SAN CLEMENTE
M02-061-5,3.75049186,SAN CLEMENTE
M02-061-6,40.9633321,SAN CLEMENTE
M02-085-1 (M02P06),372.59706323,SAN CLEMENTE
M02-085-2,199.86814555,SAN CLEMENTE
M02-086-1,50.74833146,SAN CLEMENTE
SC01-077-1,48.74950277,SAN CLEMENTE
SC02-072-1,4.79491375,SAN CLEMENTE
SC03-067-1,174.71237258,SAN CLEMENTE
SC05-073-1,124.43649592,SAN CLEMENTE
SC05-073-3,30.16696063,SAN CLEMENTE
SC06-146-1 (M00P02),26.41299244,SAN CLEMENTE
SC06-146-2 (M00P02),325.80676057,SAN CLEMENTE
SC07-079-4,1.06690053,SAN CLEMENTE
SC07-079-5,29.94605554,SAN CLEMENTE
SC10-075-1 (M00P05),83.2555747,DANA POINT
SC11-026-1 (M00P01),305.38811884,DANA POINT
SC12-068-2,81.31475636,SAN CLEMENTE
SC12-068-4,16.13226718,SAN CLEMENTE
SM01-086-1 (M03P01),219.4891214,SAN CLEMENTE
L01-766-4,25.87303207,SAN JUAN CAPISTRANO
L02-571-1,36.03365204,SAN JUAN CAPISTRANO
L02-571-3,7.43114254,SAN JUAN CAPISTRANO
L02-571-5 (L02TBN2),220.78861654,SAN JUAN CAPISTRANO
M02-032-1,130.87560514,SAN CLEMENTE
M01-060-3,4545.77136968,DANA POINT
M02-052-2,3106.39477221,SAN CLEMENTE
M02-052-4,118.71835525,SAN CLEMENTE
M02-102-1,4825.00118255,SAN CLEMENTE
L03-691-1 (L03P09),505.0272419,MISSION VIEJO
M01-047-1,719.38131871,SAN CLEMENTE
K01-12156-1,88.38784859,LAGUNA NIGUEL
K01-12126-1 (K01S01),885.25252888,DANA POINT
L01-724-1 (L01S01),283.40904032,SAN JUAN CAPISTRANO
L01-727-1 (L01S04),458.4026999,DANA POINT
L01-724-4 (L01P03),349.72191376,SAN JUAN CAPISTRANO
K01-12156-3,130.12073959,LAGUNA NIGUEL
K01-12058-2 (K01P09),303.05249515,LAGUNA NIGUEL
K01-12062-1,258.84115572,LAGUNA NIGUEL
L03-172-2,46.50852925,MISSION VIEJO
L01-458-1,600.45529611,ORANGE CO
L02-374-1 (L02P50),456.48197184000003,ORANGE CO
L02-401-2 (COL02P55),116.86311828,ORANGE CO
L02-502-1,371.7262534,SAN JUAN CAPISTRANO
L05-489-3,1832.47249969,ORANGE CO
J07-9109-4 (J07P02),394.92574829,MISSION VIEJO
J01-9377-2 (J01TBN8),98.41839547,LAKE FOREST
L02-166-1 (L02PXX),77.28378749,RANCHO SANTA MARGARITA
J07-9110-2,133.39088631,MISSION VIEJO
J07-9109-2,201.64389276,MISSION VIEJO
J07-9110-3,61.67998508,MISSION VIEJO
L02-166-2 (L02P25),363.95293383,RANCHO SANTA MARGARITA
L03-074-1 (L03B01),303.10956645,MISSION VIEJO
L03-141-1,161.39127863,MISSION VIEJO
L05-489-7,92.32955997,ORANGE CO
J01-9033-1,41.10421176,LAKE FOREST
L01-514-1,267.40709935,ORANGE CO
L01-517-7,141.90900182,ORANGE CO
M01-042-1 (M01S01),195.65162657,SAN CLEMENTE
L05-049-1,478.27356101,ORANGE CO
L03-214-2 (L03P18),1483.91003393,MISSION VIEJO
J06-10011-1 (J06P01),935.90125176,ALISO VIEJO
J06-9079-1 (J06P03),365.7871229,ALISO VIEJO
J03-9221-1 (J03P02),565.70937288,LAGUNA NIGUEL
M01-050-4 (M01@CGV),105.0882966,SAN CLEMENTE
L05-489-3d,1930.33211516,ORANGE CO
L01-242-1 (L07P16),196.96941954,ORANGE CO
L03-662-3 (L03P16),436.64832448,MISSION VIEJO
L01-731-1 (L08TBN2),1093.30467632,RANCHO SANTA MARGARITA
J01-9131-1 (J01P28),286.38606854,ALISO VIEJO
J01-9992-1 (J01P27),553.84107572999994,ALISO VIEJO
L01-728-4,79.2189438,DANA POINT
L02-366-1 (MVL02P14),198.82243813,MISSION VIEJO
L03-241-3,722.06959077,MISSION VIEJO
L03-316-4,44.10840687,MISSION VIEJO
L03-316-3 (L03P12),361.42380014,MISSION VIEJO
L03-241-4,209.49721786,MISSION VIEJO
L03-240-1 (L03P14),343.94004359,MISSION VIEJO
L01-728-5 (L01-DP),24.72372499,DANA POINT
L01-724-2,16.19787546,SAN JUAN CAPISTRANO
I01-11216-1 (I02P13),231.31390007,ALISO VIEJO
I01-11216-4 (I02P14),66.5562155,ALISO VIEJO
I01-11343-2 (I02P18),46.81104081,LAGUNA WOODS
J01-10004-1 (J01P01),479.88775953,LAKE FOREST
J01-10041-2 (J03P13),374.69432682,LAGUNA NIGUEL
J01-9007-1 (J02P05),145.61257767,ALISO VIEJO
J01-9066-1 (J01P04),82.12170635,MISSION VIEJO
J01-9224-1 (J01P24),222.46726525,LAGUNA NIGUEL
J01-9224-2 (J01P25),222.46726525,LAGUNA NIGUEL
J01-9264-1 (J01P06),680.93059513,LAKE FOREST
J01-9364-3 (J01P21),167.87337148,ORANGE CO
K01-12177-1 (K01P07),512.43104875,LAGUNA NIGUEL
L01-766-2 (L01S06),245.40622496,SAN JUAN CAPISTRANO
L02-166-3 (L02P26),494.68519995,RANCHO SANTA MARGARITA
L02-622-2 (L02P32),571.54189287,RANCHO SANTA MARGARITA
DP01-12022-1,NA,DANA POINT
DP01-12022-2,NA,DANA POINT
I00-11518-2,NA,LAGUNA BEACH
I01-11015-3,NA,LAGUNA BEACH
I01-11059-3,NA,LAGUNA BEACH
I01-11065-1,NA,LAGUNA BEACH
I01-11077-2,NA,LAGUNA BEACH
I01-11195-2,NA,ALISO VIEJO
I01-11216-2 (I02P12),NA,ALISO VIEJO
I01-11503-5,NA,ALISO VIEJO
J03-9216-5,NA,LAGUNA NIGUEL
J03-9234-8,NA,LAGUNA NIGUEL
J05-9271-6,NA,LAGUNA HILLS
J07-9022-6,NA,MISSION VIEJO
J07-9109-1,NA,MISSION VIEJO
K01-12156-6,NA,LAGUNA NIGUEL
K01-12159-2,NA,DANA POINT
K01-12159-3,NA,DANA POINT
L01-303-1,NA,ORANGE CO
L01-303-2,NA,ORANGE CO
L01-303-3,NA,ORANGE CO
L01-303-4,NA,ORANGE CO
L01-303-5,NA,ORANGE CO
L01-335-2,NA,ORANGE CO
L01-399-1,NA,ORANGE CO
L01-399-2,NA,ORANGE CO
L01-404-2,NA,ORANGE CO
L01-517-2,NA,SAN JUAN CAPISTRANO
L01-517-8,NA,SAN JUAN CAPISTRANO
L01-613-1,NA,DANA POINT
L01-728-8d,NA,DANA POINT
L01-728-9,NA,DANA POINT
L01-733-5,NA,ORANGE CO
L01-733-7,NA,ORANGE CO
L01-748-2,NA,SAN JUAN CAPISTRANO
L01-749-2d,NA,SAN JUAN CAPISTRANO
L01-749-5,NA,SAN JUAN CAPISTRANO
L01-766-8,NA,SAN JUAN CAPISTRANO
L01-766-9,NA,SAN JUAN CAPISTRANO
L02-198-1 (L02P29),NA,RANCHO SANTA MARGARITA
L02-344-2,NA,ORANGE CO
L02-502-5,NA,SAN JUAN CAPISTRANO
L03-074-2,NA,MISSION VIEJO
L03-141-2,NA,MISSION VIEJO
L03-141-3,NA,MISSION VIEJO
L03-172-3,NA,MISSION VIEJO
L03-418-2,NA,LAGUNA NIGUEL
L03-455-4,NA,SAN JUAN CAPISTRANO
L03-708-9,NA,LAGUNA NIGUEL
L04-136-1u (L04P07),NA,MISSION VIEJO
L04-672-1,NA,MISSION VIEJO
L05-049-2,NA,ORANGE CO
L05-489-4,NA,ORANGE CO
L05-503-1,NA,SAN JUAN CAPISTRANO
LC01-11480-1,NA,ORANGE CO
LC02-11508-2,NA,LAGUNA BEACH
LC03-11515-1,NA,LAGUNA BEACH
LC04-11199-1,NA,LAGUNA BEACH
LC05-11017-2,NA,LAGUNA BEACH
M00.1-070-6,NA,SAN CLEMENTE
M01-002-1,NA,ORANGE CO
M01-003-1,NA,ORANGE CO
M01-003-2,NA,ORANGE CO
M01-008-1,NA,SAN CLEMENTE
M01-038-3,NA,SAN CLEMENTE
M01-038-6,NA,SAN CLEMENTE
M01-050-7,NA,SAN CLEMENTE
M01-099-1,NA,SAN CLEMENTE
M01-124-2,NA,SAN CLEMENTE
M01-124-4,NA,SAN CLEMENTE
M01-168-1d (M00P03),NA,DANA POINT
M01-168-2d (M00P03),NA,DANA POINT
M02-061-7,NA,SAN CLEMENTE
M02-142-1,NA,SAN CLEMENTE
SC01-077-2,NA,SAN CLEMENTE
SC02-072-4,NA,SAN CLEMENTE
SC09-081-2d,NA,SAN CLEMENTE
SC10-075-3 (M00S01),NA,DANA POINT
SC11-035-1d,NA,DANA POINT
SC11-035-2d,NA,DANA POINT
SC11-035-3d,NA,DANA POINT
SC11-130-2,NA,DANA POINT
SM01-086-2,NA,SAN CLEMENTE
