JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ORANGE CO,Dissolved,Endosulfan-II,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Endosulfan Sulfate,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Endosulfan Sulfate,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Endrin,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Endrin,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Endrin Aldehyde,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Endrin Aldehyde,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Ethoprop (Ethoprofos),ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Ethoprop (Ethoprofos),ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Ethyl Parathion,ng/L,0.011758813083025512,0.011758813083025512
ORANGE CO,Dissolved,Ethyl Parathion,ng/L,0.011758813083025512,0.011758813083025512
ORANGE CO,Total,Fenchlorphos (Ronnel),ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Dissolved,Fenchlorphos (Ronnel),ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Total,Fensulfothion,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Dissolved,Fensulfothion,ng/L,0.001175881308302551,0.001175881308302551
ORANGE CO,Total,Fenthion,ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Dissolved,Fenthion,ng/L,0.002351762616605102,0.002351762616605102
ORANGE CO,Total,Fluoranthene,ng/L,0.0043767129086565845,0.0043767129086565845
ORANGE CO,Dissolved,Fluoranthene,ng/L,0.0043767129086565845,0.0043767129086565845
ORANGE CO,Total,Fluorene,ng/L,0.004304985461217661,0.004304985461217661
ORANGE CO,Dissolved,Fluorene,ng/L,0.004304985461217661,0.004304985461217661
ORANGE CO,Total,Heptachlor,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Heptachlor,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Total,Heptachlor Epoxide,ng/L,0.002939703270756378,0.002939703270756378
ORANGE CO,Dissolved,Heptachlor Epoxide,ng/L,0.002939703270756378,0.002939703270756378
