jurisdicti,acres_juris_soc,objectid,lspc_lu_edit,shape_area,acres,percentage
ALISO VIEJO,4298.475848550746,1,COMM,21705819.168072958,498.29903562006666,11.592412287111507
ALISO VIEJO,4298.475848550746,2,EDU,8879248.009217083,203.84030133874364,4.742134029834765
ALISO VIEJO,4298.475848550746,3,IND,2938407.083338552,67.45681443990236,1.5693131004948593
ALISO VIEJO,4298.475848550746,4,OSAGIR,443965.5022809655,10.192086275213551,0.23710835807872502
ALISO VIEJO,4298.475848550746,5,OSAGNI,109847.38352970198,2.521759020214745,0.058666118457754546
ALISO VIEJO,4298.475848550746,6,OSDEV,27172653.243004944,623.8007790161615,14.512080695436675
ALISO VIEJO,4298.475848550746,7,OSFOR,29921.864563278108,0.6869142390058639,0.015980350141626392
ALISO VIEJO,4298.475848550746,8,OSIRR,14169557.601793502,325.28958402649096,7.567526126246088
ALISO VIEJO,4298.475848550746,9,OSLOW,11357637.655573959,260.7365263145288,6.065765926249762
ALISO VIEJO,4298.475848550746,10,OSVAC,710171.3407935408,16.303355865184255,0.37928073173477866
ALISO VIEJO,4298.475848550746,11,OSWET,573776.575777043,13.172150387746361,0.3064364710491171
ALISO VIEJO,4298.475848550746,12,RESMF,34632233.57780915,795.0498647189866,18.496013762430746
ALISO VIEJO,4298.475848550746,13,RESSFH,25487066.487646114,585.1048768645068,13.611860507361232
ALISO VIEJO,4298.475848550746,14,RESSFL,176317.3439348325,4.047705445507899,0.09416568563638683
ALISO VIEJO,4298.475848550746,15,TRANS,28418366.152526453,652.3985267753005,15.177377753646368
ALISO VIEJO,4298.475848550746,16,TRFWY,9699358.700617785,222.66752750617496,5.180129996822683
ALISO VIEJO,4298.475848550746,17,TROTH,20.537089911177972,0.00047146859641377563,1.0968229836634612e-05
ALISO VIEJO,4298.475848550746,18,UTIL,737238.690796434,16.924739204776035,0.39373657319938543
DANA POINT,4071.5603518392572,19,COMM,14180673.04278721,325.54476046027435,7.995545445752167
DANA POINT,4071.5603518392572,20,EDU,2725940.378504938,62.57923053946657,1.5369778368758735
DANA POINT,4071.5603518392572,21,IND,1344624.2842673147,30.868449558783002,0.758144873651793
DANA POINT,4071.5603518392572,22,OSAGIR,1362323.7003920472,31.27477386830112,0.7681244060450426
DANA POINT,4071.5603518392572,23,OSDEV,28071911.240833767,644.4449845917262,15.827897688493056
DANA POINT,4071.5603518392572,24,OSFOR,273095.4639081637,6.269434258340141,0.15398050474177757
DANA POINT,4071.5603518392572,25,OSIRR,7278682.4462128645,167.09622500068858,4.103968556943394
DANA POINT,4071.5603518392572,26,OSLOW,5658132.782509029,129.89337500248067,3.190247575989469
DANA POINT,4071.5603518392572,27,OSVAC,36835.10624524466,0.8456210648785966,0.020768884882566608
DANA POINT,4071.5603518392572,28,RESMF,18614677.387267895,427.3359009687976,10.495587801710029
DANA POINT,4071.5603518392572,29,RESSFH,62649019.03639969,1438.2293304230404,35.32364629844621
DANA POINT,4071.5603518392572,30,RESSFL,22759.377797805937,0.5224855104589129,0.012832510766614035
DANA POINT,4071.5603518392572,31,TRANS,29070204.259498112,667.3627305019284,16.390769223209652
DANA POINT,4071.5603518392572,32,TRFWY,2281073.067714833,52.36644150676027,1.2861465265410632
DANA POINT,4071.5603518392572,33,TROTH,1472097.0901785584,33.79483421911351,0.8300183742737752
DANA POINT,4071.5603518392572,34,UTIL,1368421.6587985307,31.414764290670046,0.7715626422569793
DANA POINT,4071.5603518392572,35,WATER,946698.153598876,21.733286051488772,0.5337805961445198
IRVINE,96.05123754093846,36,OSAGIR,76395.64156083883,1.7538096222296107,1.8259031865681483
IRVINE,96.05123754093846,37,OSDEV,237946.62622952583,5.462524747908314,5.687071856313119
IRVINE,96.05123754093846,38,OSIRR,61.43356920991662,0.0014103263302325682,0.0014683003832530414
IRVINE,96.05123754093846,39,OSLOW,2047986.0866103256,47.015479306227,48.94813689876637
IRVINE,96.05123754093846,40,RESSFL,433.49649156879246,0.009951749898070725,0.01036083484803553
IRVINE,96.05123754093846,41,TRFWY,1821168.2666604829,41.808437818076314,43.5270504106446
LAGUNA BEACH,5632.041056195566,42,COMM,9638388.043067519,221.2678282078823,3.9287167996413705
LAGUNA BEACH,5632.041056195566,43,EDU,2381886.754834498,54.680814564051886,0.9708841838228536
LAGUNA BEACH,5632.041056195566,44,IND,962211.9230298294,22.089434616369793,0.39220854461670057
LAGUNA BEACH,5632.041056195566,45,OSAGIR,7001047.05046612,160.72256783145858,2.853706557501509
LAGUNA BEACH,5632.041056195566,46,OSAGNI,96866.8926600144,2.2237667614496663,0.039484049285209925
LAGUNA BEACH,5632.041056195566,47,OSDEV,13616870.541611163,312.60158423454396,5.550391602447202
LAGUNA BEACH,5632.041056195566,48,OSFOR,4064436.0583920716,93.30698613831679,1.6567104532752448
LAGUNA BEACH,5632.041056195566,49,OSIRR,1877865.8254513734,43.11003987459159,0.7654395094861962
LAGUNA BEACH,5632.041056195566,50,OSLOW,85712552.23253092,1967.6973159726451,34.93741301879682
LAGUNA BEACH,5632.041056195566,51,OSWET,1006022.8608753282,23.095199379679617,0.41006638212568675
LAGUNA BEACH,5632.041056195566,52,RESMF,10230897.120995488,234.87001939179854,4.170230251682754
LAGUNA BEACH,5632.041056195566,53,RESSFH,81762560.0248516,1877.0176096435462,33.32735118320555
LAGUNA BEACH,5632.041056195566,54,RESSFL,34737.872816893054,0.7974750176492467,0.014159552812121308
LAGUNA BEACH,5632.041056195566,55,TRANS,24027277.17191547,551.5925913983584,9.793791975706894
