Time,K01_12058_1,K01_12058_2
and,262,262
Date,Mean,Mean
10/10/2023 0:00,0.132,0.083
10/11/2023 0:00,0.091,0.095
10/12/2023 0:00,0.094,0.071
10/13/2023 0:00,0.094,0.072
10/14/2023 0:00,0.095,0.089
10/15/2023 0:00,0.062,0.063
10/16/2023 0:00,0.092,0.079
10/17/2023 0:00,0.091,0.074
10/18/2023 0:00,0.103,0.087
10/19/2023 0:00,0.083,0.091
10/20/2023 0:00,0.052,0.091
10/21/2023 0:00,0.086,0.072
10/22/2023 0:00,0.089,0.064
10/23/2023 0:00,0.121,0.069
10/24/2023 0:00,0.101,0.057
10/25/2023 0:00,0.1,0.072
10/26/2023 0:00,0.105,0.069
10/27/2023 0:00,0.092,0.056
10/28/2023 0:00,0.1,0.06
10/29/2023 0:00,0.134,0.073
10/30/2023 0:00,0.108,0.081
10/31/2023 0:00,0.14,0.097
11/1/2023 0:00,0.104,0.082
11/2/2023 0:00,0.089,0.078
11/3/2023 0:00,,
