FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
J01-9048-1,LAKE FOREST,96.71623825,29.95730548,100
J01-9058-1,LAKE FOREST,7.549236478,2.338333122,100
J01-9066-1,LAKE FOREST,7.543042247,2.336414493,2.845060742
J01-9066-1,MISSION VIEJO,79.7857395,79.78536327,97.15493782
J01-9066-2 (J01P03),LAKE FOREST,11.10607353,3.440043196,0.818376545
J01-9066-2 (J01P03),MISSION VIEJO,416.9116038,416.9096378,99.18162349
J01-9082-2,ALISO VIEJO,125.4804575,121.9774259,97.84740395
J01-9082-2,ORANGE CO,2.683453208,2.683443822,2.152595119
J01-9082-3,ALISO VIEJO,125.4804575,121.9774259,97.84740395
J01-9082-3,ORANGE CO,2.683453208,2.683443822,2.152595119
J01-9082-4,ALISO VIEJO,125.4804575,121.9774259,97.84740395
J01-9082-4,ORANGE CO,2.683453208,2.683443822,2.152595119
J01-9082-5 (J02P08),ALISO VIEJO,294.8761106,286.644069,99.62907554
J01-9082-5 (J02P08),ORANGE CO,1.067194713,1.06719098,0.370924301
J01-9096-1,ALISO VIEJO,0.554358421,0.538882425,2.658651444
J01-9096-1,LAGUNA HILLS,23.9920512,19.7301311,97.34134784
J01-9131-1,ALISO VIEJO,294.6109612,286.3863217,100
J01-9144-1 (J01P23),ALISO VIEJO,180.4972394,175.458307,100
J01-9144-2,ALISO VIEJO,1.817540233,1.766800054,94.70698295
J01-9144-2,LAGUNA NIGUEL,0.098745411,0.098743758,5.293028682
J01-9144-3,ALISO VIEJO,4.21291633,4.095304555,100
J01-9144-4 (J01P26),ALISO VIEJO,199.0499998,193.493131,100
J01-9224-1,ALISO VIEJO,3.749306117,3.644636926,1.638278647
J01-9224-1,LAGUNA NIGUEL,218.8264883,218.822824,98.36172091
J01-9224-2,ALISO VIEJO,3.749306117,3.644636926,1.638278647
J01-9224-2,LAGUNA NIGUEL,218.8264883,218.822824,98.36172091
J01-9259-3,LAKE FOREST,454.3888664,140.7443706,99.99231896
J01-9264-1,LAKE FOREST,2024.364351,627.0353599,92.08498047
J01-9273-1,LAGUNA HILLS,1.934269084,1.590667771,5.183103927
J01-9273-1,LAGUNA WOODS,67.54665774,29.09881518,94.81689767
J01-9275-1,LAKE FOREST,87.17708866,27.00260807,99.64416058
J01-9275-1,MISSION VIEJO,0.096430085,0.09642963,0.355841536
J01-9275-2,LAKE FOREST,131.0980254,40.60686876,95.02628824
