Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Easily accessible,L01-618-1,SAN JUAN CAPISTRANO,92.62287102,60,1,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},Yes,33.5000465,-117.6521706
Difficult accessibility,L01-618-2,SAN JUAN CAPISTRANO,399.4920935,96,1,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},Yes,33.50048772,-117.6503658
Easily accessible,L01-618-3,SAN JUAN CAPISTRANO,6.92800257,36,1,{A981599B-D002-446E-B808-453E58ACEA12},Unknown,33.50155524,-117.6500212
Difficult accessibility,L01-618-4,SAN JUAN CAPISTRANO,108.6794499,36,1,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},Unknown,33.5025008,-117.6485177
Easily accessible,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,393.005953,NA,1,{DB6B9824-56ED-459B-A97E-F9966647E89B},Yes,33.501988,-117.64812
Easily accessible,L01-724-1 (L01S01),SAN JUAN CAPISTRANO,283.4090403,NA,1,{8A859AA8-432F-48A4-B9EF-89E317C329D5},Yes,33.48318609,-117.6770626
Easily accessible,L01-724-2,SAN JUAN CAPISTRANO,16.19787546,48,1,{9AFBCAFD-4410-42DD-A83A-9F170C6B1FBA},Unknown,33.48347973,-117.6772035
Easily accessible,L01-724-4 (L01P03),SAN JUAN CAPISTRANO,349.7219138,96,1,{1A565B60-44E0-4E2C-84FE-2362549F11C4},Yes,33.4847041,-117.675358
Easily accessible,L01-726-2,DANA POINT,2.51489735,36,1,{2E54A407-3CB1-4115-BE98-54634E27A6A6},Unknown,33.47487148,-117.6795156
Easily accessible,L01-726-3,DANA POINT,11.88573163,48,1,{B22F4F14-A3E0-4A9A-9F0F-891910B4EB75},Unknown,33.47522955,-117.6788187
Easily accessible,L01-726-5,DANA POINT,68.90709888,54,1,{2B22BC20-4B7A-42C3-8427-8487ACC1F123},Yes,33.47582393,-117.6793196
Easily accessible,L01-726-6,DANA POINT,6.21310567,48,1,{D64CBB08-F94D-40E2-BF24-D05C3319C2F7},Unknown,33.47619715,-117.6792461
Easily accessible,L01-726-7,DANA POINT,5.74416805,48,1,{18A42986-EA31-4E07-A4F6-D18E1CBDE933},Unknown,33.47686584,-117.678454
Easily accessible,L01-726-8,SAN JUAN CAPISTRANO,32.32890123,54,1,{88ED161A-736E-448B-AF46-40F0E8C2F54E},Unknown,33.47849535,-117.6786837
Easily accessible,L01-726-9,SAN JUAN CAPISTRANO,89.27240799,48,1,{8940546C-B67E-42D6-9426-7F1E9452BFE1},Unknown,33.47841897,-117.6781053
Easily accessible,L01-727-1 (L01S04),DANA POINT,458.4026999,96,1,{798A1AA2-7443-4216-9DB2-0FB1B57E4222},Unknown,33.47115503,-117.6810116
Easily accessible,L01-727-2,DANA POINT,0.72723724,36,1,{B9983359-9D26-40FE-905C-4936B6ED0548},Unknown,33.47419329,-117.6797341
Easily accessible,L01-727-3,DANA POINT,4.74021882,36,1,{F5B625B6-1B6F-4CA5-84AD-4CBD11F17148},Unknown,33.47155114,-117.6801375
Difficult accessibility,L01-728-2,DANA POINT,95.97299313,54,1,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},Yes,33.46469611,-117.6822051
Easily accessible,L01-728-3 (L01S02),DANA POINT,1014.018622,NA,1,{2A977DCC-7E53-4D85-94F4-061F90A75327},Yes,33.46552248,-117.6821413
Easily accessible,L01-728-4,DANA POINT,79.2189438,30,1,{87F2F346-2A95-465B-9529-A030D3DAEC5F},Unknown,33.46675048,-117.6825898
Easily accessible,L01-728-5 (L01-DP),DANA POINT,24.72372499,60,1,{239C7351-6675-4B26-B959-1D8B4D6371A5},Yes,33.46822415,-117.6822234
Easily accessible,L01-728-6,DANA POINT,4.46590424,36,1,{997F43C3-4A2E-4C65-8310-72694AD8EF59},Unknown,33.46971487,-117.6809003
Easily accessible,L01-728-7 (L01S03),DANA POINT,185.6756207,NA,3,{9ABFED9B-C141-47FC-9A23-685026E584F9},Yes,33.46920039,-117.6796469
Easily accessible,L01-728-8d,DANA POINT,NA,36,1,{7A1311A3-7766-418C-8495-C9A419F65188},Unknown,33.46066735,-117.6773807
Easily accessible,L01-728-9,DANA POINT,NA,36,1,{74BEFDA9-4138-4459-9D5E-A60F88FD79B2},Unknown,33.47077265,-117.6810971
Difficult accessibility,L01-730-1,RANCHO SANTA MARGARITA,32.58238943,36,1,{58435AF7-EDAB-42CB-9CEF-56F94E800788},Yes,33.62428099,-117.5638953
Difficult accessibility,L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,1093.304676,108,1,{3FE0C68B-3BC3-480E-9B51-1965BD8A122E},Yes,33.625156,-117.5660083
Easily accessible,L01-733-2,ORANGE CO,120.4291666,48,1,{0730A3D5-1756-4C6A-B21F-59D067D3F0B4},Yes,33.62048952,-117.5827069
Easily accessible,L01-733-4,ORANGE CO,50.68731652,36,1,{ED00D5DA-856D-4A09-BD27-B31F6E37C9A8},Unknown,33.62235401,-117.5767258
Easily accessible,L01-733-5,ORANGE CO,NA,36,1,{9C18A820-40CA-4CA4-B141-8DA9C8401AC6},Unknown,33.62234264,-117.5767415
Easily accessible,L01-733-7,ORANGE CO,NA,36,1,{A7A8FD25-EE3B-48B7-BEA2-B78102735AA7},Yes,33.61548064,-117.582439
Easily accessible,L01-747-1,SAN JUAN CAPISTRANO,132.6155269,48,1,{5F6222C0-DE3F-465B-ACE2-7BCF51145055},Yes,33.5089042,-117.6345061
Difficult accessibility,L01-747-2,SAN JUAN CAPISTRANO,240.6167204,84,1,{09587147-64CF-499E-B6F3-CA0AB4A5BB40},Yes,33.51061235,-117.6330118
Easily accessible,L01-748-1,SAN JUAN CAPISTRANO,99.91794386,36,1,{A91AE436-24A4-4432-8197-13B5F01E53A6},Unknown,33.50404847,-117.6428321
Easily accessible,L01-748-2,SAN JUAN CAPISTRANO,NA,36,1,{DBC981FA-992C-4171-A16D-E171B6935A16},Yes,33.50406011,-117.6428152
Easily accessible,L01-749-2d,SAN JUAN CAPISTRANO,NA,36,1,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},Yes,33.50766038,-117.640286
Easily accessible,L01-749-3,SAN JUAN CAPISTRANO,41.93011742,48,1,{F283626A-51CD-43CB-A8FF-746A67B87B2B},Unknown,33.50819651,-117.6389212
Easily accessible,L01-749-5,SAN JUAN CAPISTRANO,NA,48,1,{AAAA11DA-67C2-4E13-B18E-11AAEBB0B8F5},Unknown,33.509183,-117.636421
Easily accessible,L01-760-1,ORANGE CO,33.51045004,48,1,{304B7146-FAA4-4C9E-85D8-E0AE384F357F},Yes,33.5654904,-117.5888937
Easily accessible,L01-760-2,ORANGE CO,32.57431395,60,1,{2E56C3AD-25AB-4A1C-95D5-7D91A1E793FA},Yes,33.56826629,-117.5876262
Easily accessible,L01-766-2 (L01S06),SAN JUAN CAPISTRANO,245.406225,NA,1,{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},Unknown,33.48591622,-117.6721518
Easily accessible,L01-766-3,SAN JUAN CAPISTRANO,369.9801956,NA,1,{36C58593-1762-4673-9666-5809B7EDC846},Yes,33.48601029,-117.6702887
Difficult accessibility,L01-766-4,SAN JUAN CAPISTRANO,25.87303207,48,1,{48ACB168-9928-43C5-AAD8-5119F46F8CD3},Unknown,33.487744,-117.6675898
Difficult accessibility,L01-766-5,SAN JUAN CAPISTRANO,63.97582891,60,1,{318F725A-895C-4980-B214-CEAEA72603EF},Unknown,33.48754274,-117.6667953
Easily accessible,L01-766-7,SAN JUAN CAPISTRANO,56.73310957,42,1,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},Unknown,33.49229639,-117.663183
Easily accessible,L01-766-8,SAN JUAN CAPISTRANO,NA,36,1,{F793BB7D-2AA5-48FA-8294-218E3F3B93B5},Unknown,33.49262805,-117.6623525
Easily accessible,L01-766-9,SAN JUAN CAPISTRANO,NA,58,1,{897EC9EE-5CAB-4DFE-896A-03DD917D9C2F},Yes,33.496535,-117.655642
Difficult accessibility,L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,77.28378749,54,1,{16A76DB0-63C1-4ED7-8125-2F40FB1F2F53},Unknown,33.6364723,-117.6196135
Easily accessible,L02-166-2 (L02P25),RANCHO SANTA MARGARITA,363.9529338,90,1,{FF3574C5-E460-4A7F-94BD-7DEF35298977},Unknown,33.63763055,-117.6178921
Easily accessible,L02-166-3 (L02P26),RANCHO SANTA MARGARITA,494.6852,96,1,{AED9AC9A-14FC-4E0A-BDF2-5D947063BA3D},Yes,33.64461309,-117.6137954
Easily accessible,L02-198-1 (L02P29),RANCHO SANTA MARGARITA,NA,36,1,{B9C33AB1-61DE-417E-AE9D-511CF2D50E19},Yes,33.6089755,-117.6262212
Difficult accessibility,L02-204-1 (L02P45),RANCHO SANTA MARGARITA,53.98208335,42,1,{41CB5673-9B11-493E-B0F9-13C85AD6312E},Unknown,33.61913433,-117.6233178
Easily accessible,L02-246-1 (L11P01),RANCHO SANTA MARGARITA,228.0301028,66,1,{47F2CB46-F01F-4454-981E-098E7CCE32F4},Yes,33.6104653,-117.6166004
Easily accessible,L02-344-1,ORANGE CO,178.3182714,72,1,{AE100243-D2E2-4C52-A74B-B024BF8A3C36},Unknown,33.59197631,-117.6286899
Easily accessible,L02-344-2,ORANGE CO,NA,40,1,{E885A8CA-0AA1-47CD-A582-4DCD7E616FC7},Yes,33.59189214,-117.6286028
Easily accessible,L02-359-1 (L02P43),ORANGE CO,92.45754976,45,1,{5281A820-F1BE-47B1-99ED-ECE4A151A02B},Yes,33.57846935,-117.6402344
Difficult accessibility,L02-366-1 (MVL02P14),MISSION VIEJO,198.8224381,72,1,{34BE191E-FD69-4347-A83F-3FDAA41E39CE},Yes,33.57029493,-117.651036
Easily accessible,L02-374-1 (L02P50),ORANGE CO,456.4819718,102,1,{5DF64E4A-01D2-4F6C-919E-DCBB0BDD3E55},Yes,33.56985508,-117.6460125
Easily accessible,L02-374-2 (MVL02P20),ORANGE CO,84.33765496,48,1,{B1A00FFE-8CDF-4358-8FDF-A6FA58C9C0BA},Unknown,33.57276685,-117.6455891
Easily accessible,L02-396-1,MISSION VIEJO,193.7352858,64,1,{516167D7-3F5E-403F-A9CA-5AC1AB5EBF37},Yes,33.56347893,-117.653792
Easily accessible,L02-401-1,ORANGE CO,199.4849204,60,1,{14FA5899-75CF-4C8D-8DBB-69BF4CCF982A},Yes,33.56202999,-117.6523552
Easily accessible,L02-401-2 (COL02P55),ORANGE CO,116.8631183,42,1,{6D0EBCA6-4D3F-4C1C-894E-0641CFB65C37},Yes,33.56248669,-117.6507363
Unsafe accessibility,L02-502-1,SAN JUAN CAPISTRANO,371.7262534,NA,1,{80AEE061-5CEE-4A9A-91C8-024626A1725A},Unknown,33.52458357,-117.6683659
Difficult accessibility,L02-502-5,SAN JUAN CAPISTRANO,NA,48,1,{3912E472-E933-4D2C-AB01-D62EBFBB52E2},Unknown,33.52713039,-117.6699
Inaccessible,L02-502-6,SAN JUAN CAPISTRANO,39.57525956,48,1,{C5BC5588-D77D-4EF7-9CE0-E8B1DCFE0385},Unknown,33.53046796,-117.6692307
Easily accessible,L02-541-2,SAN JUAN CAPISTRANO,7.06807992,48,1,{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},Unknown,33.49815467,-117.665789
Easily accessible,L02-541-6,SAN JUAN CAPISTRANO,17.62492719,48,1,{182F8328-651A-4982-91BA-8A69837B2509},Yes,33.49978079,-117.6661049
Easily accessible,L02-541-7,SAN JUAN CAPISTRANO,24.77553865,36,1,{610DC3A7-793E-4344-A914-88E70E636144},Unknown,33.49992872,-117.6664785
Easily accessible,L02-541-9 (L02P02),SAN JUAN CAPISTRANO,222.3651545,NA,1,{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},Yes,33.50399068,-117.6675175
Easily accessible,L02-571-1,SAN JUAN CAPISTRANO,36.03365204,48,1,{63E80B56-44CC-47BE-96A0-96E180F51F4A},Unknown,33.49086976,-117.6661203
Easily accessible,L02-571-3,SAN JUAN CAPISTRANO,7.43114254,42,1,{3871EFB2-8754-476F-9342-3419290C4138},Yes,33.49529812,-117.6658002
Easily accessible,L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,220.7886165,78,1,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},Yes,33.49772412,-117.6660482
Difficult accessibility,L02-622-1 (L02P28),RANCHO SANTA MARGARITA,256.9319517,54,1,{A8A6C5E9-EB4C-4FB5-8B4D-A18B9FBF9A32},Unknown,33.63591715,-117.6157749
Difficult accessibility,L02-622-2 (L02P32),RANCHO SANTA MARGARITA,571.5418929,72,1,{5F2234C7-A979-43B9-AF39-605D9C45E5BC},Yes,33.64724654,-117.6024743
Unsafe accessibility,L02-640-1 (L11P02),RANCHO SANTA MARGARITA,508.8455639,90,1,{8E259E70-CE94-4F00-A10B-A23719A46C04},Unknown,33.61878658,-117.6092377
Easily accessible,L02-641-1,RANCHO SANTA MARGARITA,926.3450003,96,1,{7DFD67EB-AD81-432B-9BA4-25696CAD78C5},Yes,33.63111659,-117.5948862
Easily accessible,L02-641-2,RANCHO SANTA MARGARITA,926.3450003,96,1,{940E7A8B-73AA-47EA-96AA-2A8B9F4D5926},Yes,33.6311147,-117.5948529
Easily accessible,L03-074-1 (L03B01),MISSION VIEJO,303.1095665,60,1,{49BB3F7E-1B73-4CC3-93B9-49EF1F708BBE},Yes,33.63832178,-117.6388447
Easily accessible,L03-074-2,MISSION VIEJO,NA,42,1,{6A5E6BA4-3561-44F0-907D-3D9775BDE62E},Yes,33.63947149,-117.6417634
Easily accessible,L03-141-1,MISSION VIEJO,896.1474049,84,1,{14CC37CD-8D1D-4824-B51F-D5A645DF23CC},Yes,33.65655719,-117.6343922
Difficult accessibility,L03-141-2,MISSION VIEJO,NA,43,1,{F5FE5213-7964-43D8-9FCF-D95DAD36D8E5},Yes,33.6565667,-117.6343942
Difficult accessibility,L03-141-3,MISSION VIEJO,NA,60,1,{E9C93353-55FF-4789-80D4-68FBA02BD5E3},Yes,33.65655533,-117.6343784
Inaccessible,L03-142-1 (L03P24),RANCHO SANTA MARGARITA,255.6287671,66,1,{82E345FE-8901-4935-B75E-BDD689E85A6F},Unknown,33.66841886,-117.6208048
Easily accessible,L03-172-2,MISSION VIEJO,46.50852925,36,1,{F5690724-C245-4E1E-8E50-C527FA115971},Yes,33.65145815,-117.6388453
Difficult accessibility,L03-172-3,MISSION VIEJO,NA,42,1,{B1EF7D05-C4F9-490F-9BA9-7AFF1949A39B},Yes,33.65111943,-117.6375105
Easily accessible,L03-214-2 (L03P18),MISSION VIEJO,3541.184916,96,1,{694200E0-F61E-493C-B4FD-35F10C96F460},Yes,33.6237248,-117.6423151
Easily accessible,L03-240-1 (L03P14),MISSION VIEJO,343.9400436,60,1,{B36B0F25-9FB6-4A77-9FE1-F916D2BDB697},Yes,33.61519068,-117.637077
Difficult accessibility,L03-241-3,MISSION VIEJO,722.0695908,18,1,{8ED5573E-DFDE-4B76-A102-B5B1CF23353B},Yes,33.60617913,-117.6479066
Easily accessible,L03-241-4,MISSION VIEJO,209.4972179,42,1,{47F716AD-32FA-4E10-9846-98471CD662B4},Yes,33.60923197,-117.6441123
Easily accessible,L03-316-1,MISSION VIEJO,22.65150986,42,1,{085CE6CF-F6A5-4D42-8E70-84B8F03CB7C2},Yes,33.59093498,-117.6596681
Easily accessible,L03-316-2,MISSION VIEJO,143.0414558,36,1,{3F70559C-0FAD-4D97-9983-A4BA1217498F},Yes,33.59093104,-117.6594575
Easily accessible,L03-316-3 (L03P12),MISSION VIEJO,361.4238001,78,1,{ADF910F2-1925-4DDA-B329-3228C543E1CB},Yes,33.59602196,-117.6559023
Easily accessible,L03-316-4,MISSION VIEJO,44.10840687,36,1,{013DEF0D-A524-413F-A01F-3700B35EEACE},Yes,33.59616259,-117.6560801
Easily accessible,L03-418-1,LAGUNA NIGUEL,123.7143081,36,1,{8087A7D1-E729-48B8-B8F0-6F542F01E3FD},Yes,33.54734682,-117.6744682
Unsafe accessibility,L03-418-2,LAGUNA NIGUEL,NA,48,1,{06560A1C-A452-4CBC-9B61-5BD085C0EC0B},Unknown,33.55409343,-117.6759911
Unsafe accessibility,L03-418-3,LAGUNA NIGUEL,6.6378544,48,1,{22376DF3-FDA8-47F9-A88E-F80545512E84},Unknown,33.55476752,-117.6759611
Difficult accessibility,L03-418-8,LAGUNA NIGUEL,210.5484218,66,1,{4224C49D-E7E1-4F5C-9724-113E11C9E9A8},Yes,33.5575697,-117.6763089
Easily accessible,L03-455-2,SAN JUAN CAPISTRANO,45.63681477,NA,1,{7E6762BC-9D48-4526-9D88-1BEE27C84D0A},Unknown,33.53743191,-117.6756802
Easily accessible,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,72.14698507,66,1,{EA609467-FD74-48DE-8B48-BB275FE1F19A},Unknown,33.53870259,-117.6755821
Easily accessible,L03-455-4,SAN JUAN CAPISTRANO,NA,60,1,{600BD74A-455E-480D-969C-2F0102B60635},Unknown,33.5397457,-117.6754624
Easily accessible,L03-455-5,LAGUNA NIGUEL,23.75471305,36,1,{B01BBCF8-264F-4698-9E95-E51471EACBB1},Unknown,33.54240864,-117.6750535
Easily accessible,L03-455-6,LAGUNA NIGUEL,5.33953354,NA,1,{3D94996A-864A-4B4A-93E9-6D4FAF24B1B7},Unknown,33.54323122,-117.6748569
Easily accessible,L03-455-7,LAGUNA NIGUEL,64.2143521,36,1,{0AAC6CCE-7032-4220-AA64-E80986CDB7F2},Yes,33.54509046,-117.6746664
Difficult accessibility,L03-497-1,SAN JUAN CAPISTRANO,45.51756325,36,1,{3B384AB3-B2C5-46A8-ADAD-9627DEDCF2CB},Unknown,33.52652029,-117.6794198
Difficult accessibility,L03-662-1,MISSION VIEJO,86.290944,48,1,{B513414F-444B-44D6-A7C7-D5437FDBC543},Yes,33.61812771,-117.6502019
Easily accessible,L03-662-3 (L03P16),MISSION VIEJO,436.6483245,60,1,{A410A82C-AF6C-4CCA-BAC5-6E25F4039D41},Yes,33.62464864,-117.6482508
Easily accessible,L03-691-1 (L03P09),MISSION VIEJO,505.0272419,90,1,{A46C6F40-FDBC-4070-86ED-866644B07428},Yes,33.58531041,-117.6620071
Easily accessible,L03-693-1 (L03P11),MISSION VIEJO,279.8121048,60,1,{EA5E6ACE-3E1C-43C1-8629-A007A2C06A36},Yes,33.59775734,-117.6557352
Easily accessible,L03-708-1,LAGUNA NIGUEL,108.9890025,36,1,{44E024D0-D161-42C4-B953-3B26BC5AB579},Yes,33.55750288,-117.6765187
Easily accessible,L03-708-11 (L03P05),LAGUNA NIGUEL,171.707788,60,1,{D0B00686-BBBD-4543-B725-46856EE3A1A0},Yes,33.56274915,-117.6758732
Easily accessible,L03-708-13,LAGUNA NIGUEL,64.06432828,60,1,{20164D58-A077-45A1-8D67-D8C0FBC284B8},Yes,33.5646113,-117.6738002
Easily accessible,L03-708-5,LAGUNA NIGUEL,28.84826742,36,1,{80131D44-20B9-48C8-962C-C75A86DACEB2},Unknown,33.56113153,-117.6765599
Easily accessible,L03-708-9,LAGUNA NIGUEL,NA,48,1,{FD9D5E93-9C46-49EC-B628-B56D1864239C},Yes,33.56260598,-117.6759516
Easily accessible,L04-136-1u (L04P07),MISSION VIEJO,NA,NA,1,{B8BEA8A0-3AAC-49CA-83D6-198977198F41},Yes,33.6084557,-117.679023
Easily accessible,L04-266-1,MISSION VIEJO,54.2802175,30,1,{91EA8897-0C76-41A3-B3C0-07D7E0E27DB1},Yes,33.60525713,-117.6723963
Difficult accessibility,L04-266-5,MISSION VIEJO,577.8525761,78,1,{9CBD6267-1249-4AB5-AA53-A9CD65501C1D},Yes,33.60731715,-117.6688803
Easily accessible,L04-301-1 (L04P08),MISSION VIEJO,191.8360791,48,1,{214EC75B-5777-4611-BDFC-D8AD310BF1D9},Yes,33.59956672,-117.6743862
Difficult accessibility,L04-672-1,MISSION VIEJO,NA,84,1,{9559CB47-0239-4B3A-B6FF-38E557824BEC},Yes,33.612238,-117.680662
Easily accessible,L04-702-1 (L04P02),MISSION VIEJO,84.3662671,48,1,{7FD1636E-ED34-4FE6-8232-0809F76D4268},Yes,33.58054037,-117.6732684
Easily accessible,L04-702-4,MISSION VIEJO,374.7745907,36,1,{9429FA86-6A47-441F-8775-95A2DA9CACC7},Unknown,33.58274692,-117.6733936
Easily accessible,L05-049-1,ORANGE CO,478.273561,108,1,{B2A1E667-9853-4699-9E7C-64A87D6A78B6},Yes,33.53474971,-117.6461891
Easily accessible,L05-049-2,ORANGE CO,NA,NA,3,{72B47D7C-FACB-4E33-BEC8-0FB261AFA676},Yes,33.53473606,-117.6461501
Easily accessible,L05-489-3,ORANGE CO,1832.4725,NA,1,{C7C5C7FF-5ABD-4100-A07F-AD4029A16E9D},Yes,33.52980214,-117.6465378
Easily accessible,L05-489-3d,ORANGE CO,1930.332115,NA,1,{AB8E0D12-8F63-49AB-B36D-666D80A86575},Yes,33.52889781,-117.6466248
Easily accessible,L05-489-4,ORANGE CO,NA,48,1,{89504E55-47E7-478E-A5C9-5CFF9D030D7C},Yes,33.5293593,-117.6460727
Easily accessible,L05-489-7,ORANGE CO,92.32955997,60,1,{9BFA7A22-DD6F-4A84-9ABE-48063EA402CA},Yes,33.53268584,-117.646724
Easily accessible,L05-503-1,SAN JUAN CAPISTRANO,NA,54,1,{0D74C298-E380-451C-AD48-D54F338F6F15},Yes,33.510673,-117.657309
Easily accessible,LC01-11446-1,LAGUNA BEACH,178.3326447,36,1,{3BF05356-3912-4A4C-A382-01CE34EA71C0},Yes,33.5540555,-117.8159132
Easily accessible,LC01-11480-1,ORANGE CO,NA,48,1,{08E9EDB0-D8A8-4F38-B83C-6928D509B836},Yes,33.5610309,-117.8214538
Easily accessible,LC02-11508-2,LAGUNA BEACH,NA,36,1,{39B42BE3-2E3A-4C89-B9C2-10A02F3B465A},Yes,33.54553581,-117.7953219
Easily accessible,LC02-11508-3,LAGUNA BEACH,319.6547613,60,1,{7A79C33A-1E84-41B0-AAFC-7A7C54A33C8A},Unknown,33.54503213,-117.7946238
Easily accessible,LC03-11515-1,LAGUNA BEACH,NA,54,1,{886775A2-E4C3-48F3-9D28-64111BB5241F},Unknown,33.519603,-117.762756
Inaccessible,LC04-11199-1,LAGUNA BEACH,NA,NA,1,{3DBCB0DE-8D31-4915-AB29-A58A276E7610},Unknown,33.516715,-117.761276
Easily accessible,LC05-11017-1,LAGUNA BEACH,63.88315303,48,1,{24F652D0-BF65-4204-9DC3-780FC50FFC89},Unknown,33.51296498,-117.7553384
Easily accessible,LC05-11017-2,LAGUNA BEACH,NA,36,1,{552A1115-2EB7-48DD-A375-4E5A6EF6FC79},Yes,33.51543678,-117.7602188
Easily accessible,LC06-11019-1,LAGUNA BEACH,60.81426308,24,1,{4234D10E-D9CC-4748-92EA-FECEEAEBE008},Yes,33.54303857,-117.7894605
Difficult accessibility,LC06-11509-2,LAGUNA BEACH,51.8633,24,1,{33142BAF-4557-481B-875A-E7A3CFFBFCB1},Yes,33.54345981,-117.790788
Difficult accessibility,M00.1-070-4,SAN CLEMENTE,137.0917445,48,1,{A8C3A9D9-CAAA-442E-9D37-D220C50F2F69},Unknown,33.41622631,-117.6059611
Difficult accessibility,M00.1-070-6,SAN CLEMENTE,NA,44,1,{F5E329B4-B15E-41B2-BB87-FB07B06BBEE9},Unknown,33.41592528,-117.6058355
Easily accessible,M00.1-071-2 (M00S04),SAN CLEMENTE,416.859609,72,1,{8E421913-F6B8-41F6-B51D-B3916452A11D},Unknown,33.40925249,-117.6086379
Easily accessible,M00.1-071-3 (M00S04),SAN CLEMENTE,101.0125991,NA,1,{564BA613-62BA-484C-8F8D-10DB77A3916D},Yes,33.41325504,-117.6028265
Easily accessible,M00.2-066-1 (M00S07),SAN CLEMENTE,136.3371093,48,1,{5554CB30-DBF5-4F05-9145-3024520F5CD4},Yes,33.42317767,-117.6230591
Easily accessible,M01-002-1,ORANGE CO,NA,36,1,{679DFBBB-2924-4905-B255-E3AE881E92C0},Unknown,33.49159297,-117.6128346
Easily accessible,M01-003-1,ORANGE CO,NA,48,1,{649FA5A0-48F1-45DF-8D90-EA1BFFE30875},Unknown,33.48892946,-117.613444
Easily accessible,M01-003-2,ORANGE CO,NA,84,1,{96C849C0-B2F8-43B8-B2D5-8C4C360E9B0B},Unknown,33.48939277,-117.6137895
Easily accessible,M01-008-1,SAN CLEMENTE,NA,NA,1,{B4C2DE98-2903-4237-914D-570020690CEC},Unknown,33.477835,-117.627728
Easily accessible,M01-038-3,SAN CLEMENTE,NA,90,1,{0DF4331E-C350-41BF-969E-1D66F2881789},Yes,33.46498894,-117.6392615
Easily accessible,M01-038-6,SAN CLEMENTE,NA,48,1,{AB60FC8E-0055-439B-B787-2F2FED23807A},Unknown,33.46494853,-117.6392989
Easily accessible,M01-042-1 (M01S01),SAN CLEMENTE,195.6516266,36,1,{D81C1D29-E0B6-4468-A3DA-A14172F34DD5},Yes,33.45444672,-117.6234442
Easily accessible,M01-047-1,SAN CLEMENTE,719.3813187,NA,1,{986D4C77-948D-4582-A23D-BF24985A8B51},Yes,33.44252141,-117.6419501
Easily accessible,M01-050-4 (M01@CGV),SAN CLEMENTE,105.0882966,48,1,{0B20DCA2-E5EF-49F5-AEA0-7EF86C614A49},Yes,33.44580832,-117.6441503
Difficult accessibility,M01-050-7,SAN CLEMENTE,NA,36,1,{C9AF768A-2A02-4DA5-A0A2-B1935AC72D2C},Unknown,33.44303405,-117.6437941
Difficult accessibility,M01-060-3,DANA POINT,4545.77137,NA,1,{7E285DCF-C197-4473-A6A6-DE27863098BF},Unknown,33.4412889,-117.6450087
Easily accessible,M01-099-1,SAN CLEMENTE,NA,60,1,{43A185DF-1F9A-4C1C-9F07-AA2BE1E7BCB9},Yes,33.45679464,-117.6422838
Easily accessible,M01-124-2,SAN CLEMENTE,NA,36,1,{B4FCF9CC-A9DE-46B1-8099-5EE10514BE7E},Yes,33.45679407,-117.6422063
Easily accessible,M01-124-4,SAN CLEMENTE,NA,48,1,{FA68CCE1-A2A8-414F-8411-9E05511C841E},Unknown,33.46509434,-117.6391214
Difficult accessibility,M01-168-1d (M00P03),DANA POINT,NA,43,1,{BCEA4CB4-4C65-4F42-B982-CE82FDFD0ABA},Unknown,33.44539958,-117.6516285
Difficult accessibility,M01-168-2d (M00P03),DANA POINT,NA,36,1,{CD4DB632-4AF2-493B-8B3C-84DF4057B012},Unknown,33.44456111,-117.650582
Difficult accessibility,M02-013-1,SAN CLEMENTE,43.17862585,44,1,{28818406-BBEA-4536-A70B-7DEA94341A5E},Yes,33.47448662,-117.5975708
Easily accessible,M02-015-1,SAN CLEMENTE,65.88798185,36,1,{EE82778D-4874-4889-8E55-64DF8A4422C0},Yes,33.47815722,-117.5832457
Easily accessible,M02-028-2 (M02P08),SAN CLEMENTE,221.1682547,42,1,{1707E0E9-430D-4B15-969A-02F4D7D52110},Yes,33.46680966,-117.5817434
Easily accessible,M02-032-1,SAN CLEMENTE,130.8756051,120,1,{2B10F0C1-0E21-4FE4-B6F6-8806D0E7CC45},Yes,33.45754739,-117.6008317
Easily accessible,M02-052-2,SAN CLEMENTE,3106.394772,NA,1,{43B4EE36-979D-4FA8-83C9-4BFA81FACC97},Yes,33.45120321,-117.6098879
Easily accessible,M02-052-3,SAN CLEMENTE,178.5046065,54,1,{E7B21F39-AB19-4339-B5EA-533C4BDF4CF1},Yes,33.45125039,-117.6097932
Easily accessible,M02-052-4,SAN CLEMENTE,118.7183553,48,1,{3CDC86F8-F190-45F4-8430-F50DADFD797B},Yes,33.45128562,-117.6097226
