LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE
COMM,10,Commercial,business,0.486,DP06-12106-1,762500.1618898287,17.50466510329721,26.304868099539146
COMM,10,Commercial,business,0.486,I00-11437-1,129159.09563455808,2.9650967004703985,0.4899426422630323
COMM,10,Commercial,business,0.486,I00-11453-1,94229.1596192734,2.163212500850382,0.6323521544131201
COMM,10,Commercial,business,0.486,I00-11468-1,115290.17397793588,2.6467087956844653,1.18507404823548
COMM,10,Commercial,business,0.486,I00-11518-1,236796.52289654216,5.43612190278869,0.8425989661775598
COMM,10,Commercial,business,0.486,I01-11010-1,358420.15036951576,8.22822736580391,67.72712777812234
COMM,10,Commercial,business,0.486,I01-11010-2,93614.1843414527,2.149094554621521,9.80142669355238
COMM,10,Commercial,business,0.486,I01-11015-1,58987.74735162665,1.3541777617842958,53.49389733502059
COMM,10,Commercial,business,0.486,I01-11015-2,48457.193881740764,1.1124285516780943,0.45335268453843985
COMM,10,Commercial,business,0.486,I01-11021-1,271150.74486205017,6.224789473560227,41.431392111290535
COMM,10,Commercial,business,0.486,I01-11023-2,226942.17040936707,5.209896193314326,30.98257104700449
COMM,10,Commercial,business,0.486,I01-11023-4,18738.548240667107,0.4301795958467616,6.67944639688902
COMM,10,Commercial,business,0.486,I01-11059-2,9621.815159132522,0.22088736562232833,2.3782555864915977
COMM,10,Commercial,business,0.486,I01-11077-1,288083.5972698905,6.613515831215258,5.602100398508967
COMM,10,Commercial,business,0.486,I01-11093-1,107255.9838624098,2.462268431763828,2.809754542129629
COMM,10,Commercial,business,0.486,I01-11487-1,3247829.3066172916,74.5601996779957,1.329953387125642
COMM,10,Commercial,business,0.486,I01-11487-2,547987.1986211282,12.580105385135411,9.33762808558968
COMM,10,Commercial,business,0.486,J01-10004-1 (J01P01),368722.3170449844,8.464733515580287,1.763897049734401
COMM,10,Commercial,business,0.486,J01-10041-2 (J03P13),226563.05768778603,5.201192927978319,1.388115046744664
COMM,10,Commercial,business,0.486,J01-9005-6,132672.28973931092,3.0457488620308073,51.13618195090459
COMM,10,Commercial,business,0.486,J01-9008-1 (J01P30),984412.6117932912,22.59909434011826,10.681500722662877
COMM,10,Commercial,business,0.486,J01-9031-1,1237763.412537577,28.4152516897631,9.50471012718758
COMM,10,Commercial,business,0.486,J01-9040-1,100125.64849150748,2.29857780062679,1.573003200124172
COMM,10,Commercial,business,0.486,J01-9066-1 (J01P04),862064.6072569282,19.790359401416488,24.09879529560183
COMM,10,Commercial,business,0.486,J01-9066-2 (J01P03),2975531.7487591435,68.30908289535917,16.25053758935367
COMM,10,Commercial,business,0.486,J01-9131-1 (J01P28),3290199.079492322,75.53287971368512,26.374471818620133
COMM,10,Commercial,business,0.486,J01-9144-1 (J01P23),1745431.171060349,40.06974639132184,22.837189684845587
COMM,10,Commercial,business,0.486,J01-9144-2,13507.580077689896,0.31009261038044766,16.62210475086365
COMM,10,Commercial,business,0.486,J01-9144-4 (J01P26),1304246.2641866778,29.94149405847993,15.474189657093705
COMM,10,Commercial,business,0.486,J01-9224-1 (J01P24),7894079.282475518,181.22384891844305,81.46083357763685
COMM,10,Commercial,business,0.486,J01-9224-2 (J01P25),7894079.282475518,181.22384891844305,81.46083357763685
COMM,10,Commercial,business,0.486,J01-9259-3,882522.0028136475,20.259998459877163,14.393785130350256
COMM,10,Commercial,business,0.486,J01-9264-1 (J01P06),4212261.250376316,96.7005991614294,14.20122907754865
COMM,10,Commercial,business,0.486,J01-9364-3 (J01P21),1028114.4064870868,23.602353511410705,14.059604830676728
COMM,10,Commercial,business,0.486,J01-9377-2 (J01TBN8),319118.3580917531,7.325978755027891,7.443702209738577
COMM,10,Commercial,business,0.486,J01-9785-1,54.533720282319095,0.00125192696092411,0.00588959358021352
COMM,10,Commercial,business,0.486,J01-9992-1 (J01P27),6503076.86257993,149.2906996089398,26.955488527596845
COMM,10,Commercial,business,0.486,J03-9199-1,1754960.249555946,40.28850480757585,5.184962968713454
COMM,10,Commercial,business,0.486,J03-9215-1,13052.439734521104,0.2996439840320632,0.4600825340357472
COMM,10,Commercial,business,0.486,J03-9215-2,155597.46342990288,3.572040537686497,87.58700554272572
COMM,10,Commercial,business,0.486,J03-9215-3,64057.44229953166,1.470562408862938,0.9469922246708083
