RC_Group,RC_WMAcf
Agriculture,0.222
Water,0.797
Commercial,0.1968211827875126
Developed Open Space,0.13674019913737906
Education,0.3225415571016098
Freeway,0.2845812460538171
Light Industrial,0.3162935187515678
Multi-family Residential,0.18507743859630982
Open Space,0.04985952188540935
Single Family Residential,0.22051272695363747
Streets and Roads,0.2962936847817557
