"","Station","Collected Date","HSN","Fraction","Sample Type","Composite Start Time","Composite End Time","Stormflow Volume -cf","2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L","Acenaphthene - ng/L","Acenaphthylene - ng/L","Aldrin - ng/L","Anthracene - ng/L","Azinphos Methyl - ng/L","Benz[a]anthracene - ng/L","Benzo[a]pyrene - ng/L","Benzo[b]fluoranthene - ng/L","Benzo[g,h,i]perylene - ng/L","Benzo[k]fluoranthene - ng/L","BHC-alpha - ng/L","BHC-beta - ng/L","BHC-delta - ng/L","BHC-gamma - ng/L","Biphenyl - ng/L","Bolstar (Sulprofos) - ng/L","Chlordane-alpha - ng/L","Chlordane-gamma - ng/L","Chlorpyrifos - ng/L","Chrysene - ng/L","Demeton - ng/L","Diazinon - ng/L","Dibenz[a,h]anthracene - ng/L","Dibenzothiophene - ng/L","Dichlorvos - ng/L","Dieldrin - ng/L","Dimethoate - ng/L","Disulfoton - ng/L","Endosulfan-I - ng/L","Endosulfan-II - ng/L","Endosulfan Sulfate - ng/L","Endrin - ng/L","Endrin Aldehyde - ng/L","Ethoprop (Ethoprofos) - ng/L","Ethyl Parathion - ng/L","Fenchlorphos (Ronnel) - ng/L","Fensulfothion - ng/L","Fenthion - ng/L","Fluoranthene - ng/L","Fluorene - ng/L","Heptachlor - ng/L","Heptachlor Epoxide - ng/L","Indeno[1,2,3-cd]pyrene - ng/L","Malathion - ng/L","Merphos - ng/L","Methoxychlor - ng/L","Methyl Parathion - ng/L","Mevinphos (Phosdrin) - ng/L","Mirex - ng/L","Naphthalene - ng/L","Phenanthrene - ng/L","Phorate - ng/L","Pyrene - ng/L","Tetrachlorvinphos (Stirofos) - ng/L","Tokuthion (Prothiofos) - ng/L","Toxaphene - ng/L","trans-Nonachlor - ng/L","Trichloronate - ng/L","Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L","Dissolved Organic Carbon - mg/L","Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L","MBAS - mg/L","Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L","Total Organic Carbon (TOC) - mg/L","Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L","Chloride - mg/L","Nitrate + Nitrite as N - mg/L","Nitrogen, Total Kjeldahl - mg/L","Orthophosphate as P - mg/L","pH","Phosphorus as PO4 - mg/L","SpecificConductivity","Sulfate - mg/L","Temperature","Total Dissolved Solids - mg/L","VSS - mg/L","TSS - mg/L","Turbidity - NTU","Enterococcus - CFU/100 mL","E. coli - CFU/100 mL","Fecal coliforms - CFU/100 mL","Total Coliforms - CFU/100 mL","TN - mg/L","Field Specific Conductivity","Field Dissolved Oxygen","Field pH","Field Temperature","Field Turbidity - NTU","...1","GlobalID_tribarea","area_acres","OBJECTID","IN_FID","NEAR_FID","NEAR_DIST","OBJECTID_outfall","GlobalID","LOCDESC","OBJECTID_hydstra","station","Rain_Gage_Total","Composite Begin","Composite End","Rain_Event_Total"
"1","I01-11021-1",2022-11-08 11:30:00,2568001,"Total","Grab",NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47000,"18900",">=24000",">=98000",NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",22.4,NA,NA,NA
"2","I01-11021-1",2022-11-09 10:30:00,2573003,"Dissolved","Composite",2022-11-07 17:00:00,2022-11-08 05:00:00,1073.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",22.4,2022-11-07,2022-11-08,2.16
"3","I01-11021-1",2022-11-09 10:30:00,2573001,"Total","Composite",2022-11-07 18:00:00,2022-11-08 05:00:00,1073.7,"<2","<2","<2","<2","<2","<5","<5","<5","<5","<5","<10","J2.09","J1.42","<5","10","<5","<5","<5","<5","<5","J2.83","<4","<2","<2","<1","6.18","<2","<1","<5","5.3","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","8.5299999999999905","5.05","<5","<5","<5","<5","<2","<5","<2","<10","<5","14.2","7.29","<10","8.5","<4","<6","80.7","<2","<2",1.8,"0.45",69,1.1,45,NA,345,"240","1.1000000000000001",41.9,"20","0.16","<0.05",2.8,"4.3","<0.2","<0.2",13,45,"<0.1",300,1.3,1.1,"H0.4","H7.24",1.5,1600,150,"H21.3",890,"<10",8.6,4.4,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,13,"{771F9AE1-01EC-4A47-84FC-2F216663852D}",15.02431768,2338,2338,42,1495.290188,2338,"{613D317B-0A31-4B49-B4A0-85440B25AA42}","VICTRA u/s P",42,"LAGUNABEACH",22.4,2022-11-07,2022-11-08,2.16
"4","J01-9046-2",2022-11-08 08:38:00,2570001,"Total","Grab",NA,NA,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,">=8200","16000",">=78000",NA,NA,NA,NA,NA,NA,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",27.13,NA,NA,NA
"5","J01-9046-2",2022-11-08 13:51:00,2572005,"Dissolved","Composite",2022-11-07 16:38:00,2022-11-08 12:53:00,69701.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,"<0.2",NA,1.8,13,NA,NA,"240","0.48",NA,"11",NA,"<0.05",2.4,"<0.4","<0.2","<0.2",NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",27.13,2022-11-07,2022-11-08,4.34
"6","J01-9046-2",2022-11-08 13:51:00,2572001,"Total","Composite",2022-11-07 16:38:00,2022-11-08 12:53:00,69701.7,"<2","<2","<2","<2","<2","J1.47","J2.59","<5","<5","<5","<10","J1.97","J3.93","6.49","17","<5","<5","<5","<5","<5","J3.34","<4","<2","<2","<1","16.899999999999899","<2","<1","<5","7.49","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","<20","<4","<2","<4","16.8","J1.98","<5","<5","<5","<5","<2","<5","<2","<10","<5","19.600000000000001","9.8800000000000008","<10","36.4","<4","<6","62.8","<2","<2",2.29999999999999,"0.26",19.2,5.8,31,12,68.5999999999999,"3200","3.3",5.04,"72","0.18","<0.05",5.3,"<0.4","<0.2","<0.2",13,100,"0.32",22,1.7,1.8,"0.38","H7.77",2,280,39,"H21.3",210,"19",84,39,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,48,"{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8}",46.36377902,30,30,30,13585.01706,30,"{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040}","J01-Normandale",30,"ELTORO",27.13,2022-11-07,2022-11-08,4.34
"7","J01-9273-1",2022-12-12 08:43:00,2612015,"Dissolved","Composite",2022-12-11 06:28:00,2022-12-12 03:28:00,38684.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,"1.8",NA,0.75,8.4,NA,NA,"85","0.25",NA,"210",NA,"<0.05",17,"1.6","<0.2","<0.2",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",27.13,2022-12-11,2022-12-12,3.04
"8","J01-9273-1",2022-12-12 08:43:00,2612005,"Total","Grab",NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32000,"8100",">=8400",">=72000",NA,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",27.13,NA,NA,NA
"9","J01-9273-1",2022-12-12 08:43:00,2612010,"Total","Composite",2022-12-11 06:28:00,2022-12-12 03:28:00,38684.1,"<2","<2","<2","<2","<2","J1.56","<5","<5","<5","J1.43","<10","<5","<5","<5","<5","<5","<5","<5","8.81","<5","J1.43","<4","J1.03","<2","<1","J1.86","<2","<1","<5","5.35","<6","<2","<10","<2","<5","<5","<5","<5","<5","<2","23.3","<4","<2","<4","5.76","J1.57","<5","<5","<5","<5","<2","<5","<2","<10","<5","6.14","5.49","<10","7.43","<4","<6","<25","J1.98","<2",4,"2.2000000000000002",75.8,1.2,10,12,285,"400","0.88",23.2,"230","0.18","<0.05",18,"1.6","<0.2","<0.2",13,46,"<0.1",83,0.49,0.77,"0.27","H7.64",1.2,1000,220,"H18.100000000000001",690,"<5.6",7.8,9.8,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,64,"{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981}",30.68945533,345,345,30,11274.56096,345,"{1B614B52-1204-4A36-9937-3895C916CE39}","J01ASVM; Aliso Creek Park and Wildlife Sanctuary in Laguna Woods",30,"ELTORO",27.13,2022-12-11,2022-12-12,3.04
"10","J01-9992-1 (J01P27)",2022-11-08 10:01:00,2570003,"Total","Grab",NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000,"10000","16000",">=108000",NA,NA,NA,NA,NA,NA,367,"{62405ECA-C5C8-487E-B695-4FCC395FFA58}",553.84107573,11,11,29,9036.131335,11,"{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5}","J01P27; Woodfield Park",29,"SULPHURCREEK",26.64,NA,NA,NA
