"","Station","Rain_Gage_Total"
"1","DANAPOINT",21.31
"2","ELTORO",27.13
"3","LAGUNABEACH",22.4
"4","PALISADES",25.29
"5","SULPHURCREEK",26.64
"6","TRABUCO",35.09
"7","TUCKER",40.17
