FACILITYID,RC_WMAcf_M
DP02-12131-1,0.22961860817031385
DP04-12015-1,0.10755530463095536
DP05-12190-1,0.20830329683983045
DP06-12106-1,0.20886423444379598
I00-11437-1,0.18314863669629963
I00-11453-1,0.20502804544640832
I00-11468-1,0.13315869642499295
I00-11518-1,0.18648462614280628
I01-11010-1,0.22892381693341712
I01-11010-2,0.2302463921958479
I01-11015-1,0.2155891716258986
I01-11015-2,0.05787076057154842
I01-11021-1,0.23074482493952184
I01-11023-1,0.13577253072111764
I01-11023-2,0.19516225424292988
I01-11023-3,0.05706027048148346
I01-11023-4,0.15307330149425777
I01-11023-5,0.10751615246197202
I01-11023-6,0.06851802915528213
I01-11059-1,0.15698784825750411
I01-11059-2,0.21139938942637057
I01-11077-1,0.15086791561162824
I01-11093-1,0.08422718194111473
I01-11093-2,0.05172748739294277
I01-11216-1 (I02P13),0.20450251600159766
I01-11216-3,0.26150862878228204
I01-11216-4,0.19832152993938842
I01-11217-1,0.19374053563947005
I01-11343-1,0.18207327752349803
I01-11343-2 (I02P18),0.1948883804089672
I01-11487-1,0.10737712543344427
I01-11487-2,0.22560140918344007
I01-11502-1,0.17019524033067138
I01-11502-2,0.15020481392297338
I01-11503-1,0.2886659148594198
I01-11503-2,0.2563970468161724
I01-11503-3,0.18169405818960707
J01-10004-1 (J01P01),0.19748970591677975
J01-10004-2,0.23531623085537884
J01-10006-1,0.23958998707065432
J01-10012-3,0.16862544664559548
J01-10017-1 (J01TBN4),0.21364666677895233
J01-10018-1 (J01TBN5),0.1827079902860308
J01-10019-1 (J01P33),0.22218958751590762
J01-10041-2 (J03P13),0.20975175806551047
J01-9005-1 (J03P05),0.21313220862260132
J01-9005-3,0.1962627317855807
J01-9005-6,0.20459877716782546
J01-9007-1 (J02P05),0.2148809920175117
J01-9008-1 (J01P30),0.2102327576428728
J01-9031-1,0.2105074372537097
J01-9033-1,0.21955751221856226
J01-9040-1,0.21015830544644581
J01-9046-1,0.21041164147775857
J01-9046-2,0.20945248925447166
J01-9046-3,0.22517387744777825
J01-9048-1,0.21233633641924773
J01-9058-1,0.23970975507439574
J01-9066-1 (J01P04),0.21661485049024867
J01-9066-2 (J01P03),0.25079671173190327
J01-9082-2,0.1853657009281039
J01-9082-3,0.1853657009281039
J01-9082-4,0.1853657009281039
J01-9082-5 (J02P08),0.2236480175564464
J01-9096-1,0.22935774964438704
J01-9131-1 (J01P28),0.20187264560720597
J01-9144-1 (J01P23),0.21474786289901454
J01-9144-2,0.2561786898502136
J01-9144-3,0.06258369615242987
J01-9144-4 (J01P26),0.22144471055704432
J01-9224-1 (J01P24),0.20840460134884814
J01-9224-2 (J01P25),0.20840460134884814
J01-9259-3,0.22838668448934046
J01-9264-1 (J01P06),0.22350813087981453
J01-9273-1,0.19458900244848806
J01-9275-1,0.1637834248470009
J01-9275-2,0.1729069608815087
J01-9275-3,0.1935054586133478
J01-9313-1,0.2109881470094651
J01-9349-1,0.18027895250740966
J01-9359-1 (J01P32),0.16897005786049987
J01-9359-2,0.15089433925701687
J01-9364-3 (J01P21),0.17831094906064804
J01-9364-4,0.06436305213426498
J01-9377-1,0.23606531210969028
J01-9377-2 (J01TBN8),0.18164718893409673
J01-9782-1 (J01TBN3),0.22195562943217897
J01-9785-1,0.19650526896311155
J01-9992-1 (J01P27),0.2158617833511241
J03-9199-1,0.2210686260374728
J03-9215-1,0.1408835193740829
J03-9215-2,0.19191807971727917
J03-9215-3,0.22491522232815145
J03-9216-1 (J03P01),0.1768042507111384
J03-9216-2,0.20015612018246
J03-9221-1 (J03P02),0.19783373813870847
J03-9234-1,0.1999776795732118
J03-9234-3,0.23791026805696228
J03-9234-5,0.20217178426762375
J03-9234-6,0.21895116963741454
J03-9368-1 (J03TBN1),0.249821975165778
