LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,...1,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,TN - mg/L,Field Specific Conductivity,Field Dissolved Oxygen,Field pH,Field Temperature,Field Turbidity - NTU,...117,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Event,RC_M,RC_WMA,RC_CF,na.rm,RCandCF,RC_Mcf,RC_WMAcf,RC_WMAcf_M,Stormwater Volume (acre-ft)_RC,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Event,Stormwater Volume (acre-ft)_RC_Mcf,Stormwater Volume (acre-ft)_RC_WMAcf,Stormwater Volume (acre-ft)_RC_WMAcf_M
RESSFH,50,Single Family Residential,single family,0.405,J01-9046-2,1008686.8884834716,23.15635728290014,49.944886504126465,5,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,69701.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,<0.2,NA,1.8,13,NA,NA,240,0.48,NA,11,NA,<0.05,2.4,<0.4,<0.2,<0.2,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,27.13,2022-11-07,2022-11-08,4.34,0.09542632277691866,0.3595627386095262,0.4050000000000001,0.26539547213914355,TRUE,0.10748516621635316,NA,0.22051272695363747,0.20945248925447166,21.202829091621478,37.68964566564682,10.002661306191364,NA,11.544428795371278,21.954972682421296
RESSFH,50,Single Family Residential,single family,0.405,J01-9046-2,1008686.8884834716,23.15635728290014,49.944886504126465,6,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,69701.7,<2,<2,<2,<2,<2,J1.47,J2.59,<5,<5,<5,<10,J1.97,J3.93,6.49,17,<5,<5,<5,<5,<5,J3.34,<4,<2,<2,<1,16.899999999999899,<2,<1,<5,7.49,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,16.8,J1.98,<5,<5,<5,<5,<2,<5,<2,<10,<5,19.600000000000001,9.8800000000000008,<10,36.4,<4,<6,62.8,<2,<2,2.29999999999999,0.26,19.2,5.8,31,12,68.5999999999999,3200,3.3,5.04,72,0.18,<0.05,5.3,<0.4,<0.2,<0.2,13,100,0.32,22,1.7,1.8,0.38,H7.77,2,280,39,H21.3,210,19,84,39,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,48,{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},46.36377902,30,30,30,13585.01706,30,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},J01-Normandale,30,ELTORO,27.13,2022-11-07,2022-11-08,4.34,0.09542632277691866,0.3595627386095262,0.4050000000000001,0.26539547213914355,TRUE,0.10748516621635316,NA,0.22051272695363747,0.20945248925447166,21.202829091621478,37.68964566564682,10.002661306191364,NA,11.544428795371278,21.954972682421296
RESSFH,50,Single Family Residential,single family,0.405,J01-9992-1 (J01P27),2666012.9294657945,61.203480109033634,11.050719905858534,10,2022-11-08T10:01:00Z,2570003,Total,Grab,NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000,10000,16000,>=108000,NA,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,NA,NA,NA,NA,0.43090185850815593,0.405,NA,TRUE,NA,NA,0.22051272695363747,0.2158617833511241,55.028048966032145,529.8055504474736,NA,NA,29.961444781328492,265.40793150640576
RESSFH,50,Single Family Residential,single family,0.405,J01-9992-1 (J01P27),2666012.9294657945,61.203480109033634,11.050719905858534,11,2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,771517.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.97,NA,1.3,12,NA,NA,26,<0.2,NA,14,NA,<0.05,5.5,12,<0.2,<0.2,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.10840535406298947,0.43090185850815593,0.405,0.25157782897085745,TRUE,0.10188902073319728,NA,0.22051272695363747,0.2158617833511241,55.028048966032145,529.8055504474736,133.2873301582855,NA,29.961444781328492,265.40793150640576
RESSFH,50,Single Family Residential,single family,0.405,J01-9992-1 (J01P27),2666012.9294657945,61.203480109033634,11.050719905858534,12,2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,771517.5,<2,<2,<2,<2,<2,<5,<5,<5,<5,<5,<10,<5,J3.89,<5,7.71,<5,<5,<5,<5,<5,J3.14,<4,<2,<2,<1,5.92,<2,<1,<5,7.57,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J4.21,J2.67,<5,<5,<5,<5,<2,<5,<2,<10,<5,7.75,J2.86,<10,8.8800000000000008,<4,<6,65.7,<2,<2,5.2,1.1000000000000001,82.4,3.4,14,12,302,1100,0.66,23.4,27,9.9000000000000005E-2,<0.05,7.2,12,<0.2,<0.2,12,82,0.18,150,5.3,1.4,0.43,H7.38,1.8,1200,200,H20.9,630,<10,37,22,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.10840535406298947,0.43090185850815593,0.405,0.25157782897085745,TRUE,0.10188902073319728,NA,0.22051272695363747,0.2158617833511241,55.028048966032145,529.8055504474736,133.2873301582855,NA,29.961444781328492,265.40793150640576
RESSFH,50,Single Family Residential,single family,0.405,J03-9216-2,17722483.723032914,406.8538708259981,36.219940634273016,13,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,859135.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.86,NA,0.87,8.8,NA,NA,120,0.21,NA,47,NA,<0.05,5.8,1.4,<0.2,<0.2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,2022-12-11,2022-12-12,3.48,0.060546000699677825,0.3713237849421887,0.405,0.16305446393396053,TRUE,0.06603705789325402,NA,0.22051272695363747,0.20015612018246,365.80231525965496,925.9682106887094,150.98325021373614,NA,199.17053349101408,499.1282863622701
RESSFH,50,Single Family Residential,single family,0.405,J03-9216-2,17722483.723032914,406.8538708259981,36.219940634273016,14,2022-12-12T11:57:00Z,2612004,Total,Grab,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,>=11600,>=17400,>=104000,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,NA,NA,NA,NA,0.3713237849421887,0.405,NA,TRUE,NA,NA,0.22051272695363747,0.20015612018246,365.80231525965496,925.9682106887094,NA,NA,199.17053349101408,499.1282863622701
RESSFH,50,Single Family Residential,single family,0.405,J03-9216-2,17722483.723032914,406.8538708259981,36.219940634273016,15,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,859135.5,<2,<2,<2,<2,<2,J1.1100000000000001,J3.06,<5,<5,J3.3,<10,J1.23,<5,<5,10.8,<5,<5,<5,<5,<5,J3.27,<4,<2,<2,<1,J3.85,<2,<1,<5,5.86,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,40,<4,<2,<4,11.9,J2.4300000000000002,<5,<5,7.22,15.4,<2,<5,<2,<10,<5,9.5399999999999903,14.2,<10,18.600000000000001,<4,<6,<25,<2,<2,1.5,1.4,62.9,3.3,17,8.8,258,1500,1.4,24.6,100,0.16,<0.05,8.19999999999999,1.4,<0.2,<0.2,10,65,0.24,95,1.4,1,0.25,H7.56,1.9,930,180,H18.2,550,9.6999999999999904,38,20,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,2022-12-11,2022-12-12,3.48,0.060546000699677825,0.3713237849421887,0.405,0.16305446393396053,TRUE,0.06603705789325402,NA,0.22051272695363747,0.20015612018246,365.80231525965496,925.9682106887094,150.98325021373614,NA,199.17053349101408,499.1282863622701
RESSFH,50,Single Family Residential,single family,0.405,J07-9109-4 (J07P02),5570828.935947522,127.88914644926804,32.38305781384091,16,2022-11-08T09:17:00Z,2570002,Total,Grab,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19600,7500,6700,>=38000,NA,NA,NA,NA,NA,NA,337,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,27.13,NA,NA,NA,NA,0.3981258747605368,0.405,NA,TRUE,NA,NA,0.22051272695363747,0.22518069664130003,117.10009833194165,355.4711844802226,NA,NA,63.758177801766784,201.05512862058993
RESSFH,50,Single Family Residential,single family,0.405,J07-9109-4 (J07P02),5570828.935947522,127.88914644926804,32.38305781384091,17,2022-11-09T08:55:00Z,2572006,Dissolved,Composite,2022-11-07T16:40:00Z,2022-11-08T15:55:00Z,28619.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.46,NA,1.2,11,NA,NA,49,<0.2,NA,5.4,NA,<0.05,2.4,0.55000000000000004,<0.2,<0.2,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,27.13,2022-11-07,2022-11-08,4.34,0.004599903494980122,0.3981258747605368,0.405,0.01155389234057408,TRUE,0.004679326397932503,NA,0.22051272695363747,0.22518069664130003,117.10009833194165,355.4711844802226,4.1070757956608395,NA,63.758177801766784,201.05512862058993
RESSFH,50,Single Family Residential,single family,0.405,J07-9109-4 (J07P02),5570828.935947522,127.88914644926804,32.38305781384091,18,2022-11-09T08:55:00Z,2572002,Total,Composite,2022-11-07T16:40:00Z,2022-11-08T15:55:00Z,28619.4,<2,<2,<2,<2,<2,<5,<5,<5,<5,<5,<10,J1.1000000000000001,J2.23,J4.25,20.399999999999899,<5,<5,<5,<5,<5,J2.5299999999999998,<4,<2,<2,<1,8.18,<2,<1,<5,6.13,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,7.03,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,9.1999999999999904,5.9,<10,18.899999999999899,<4,<6,45.7,<2,<2,1.9,0.46,42.5,2.29999999999999,15,11,151,670,0.82,10.9,21,0.12,<0.05,3.1,0.63,<0.2,<0.2,12,94,0.16,69,1.5,1.2,0.24,H7.43,1.1,680,120,H21.5,420,7.7,24,19,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,337,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,27.13,2022-11-07,2022-11-08,4.34,0.004599903494980122,0.3981258747605368,0.405,0.01155389234057408,TRUE,0.004679326397932503,NA,0.22051272695363747,0.22518069664130003,117.10009833194165,355.4711844802226,4.1070757956608395,NA,63.758177801766784,201.05512862058993
RESSFH,50,Single Family Residential,single family,0.405,K01-12156-4,19696394.39596963,452.1688058260691,32.007527537920026,19,2022-11-08T09:36:00Z,2570004,Total,Grab,NA,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29000,11500,>=10800,>=61000,NA,NA,NA,NA,NA,NA,327,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,26.64,NA,NA,NA,NA,0.3188453372859192,0.405,NA,TRUE,NA,NA,0.22051272695363747,0.17794982744933818,406.54497331821875,999.9565535632717,NA,NA,221.3539276436894,558.0827923597719
RESSFH,50,Single Family Residential,single family,0.405,K01-12156-4,19696394.39596963,452.1688058260691,32.007527537920026,20,2022-11-09T10:00:00Z,2572008,Dissolved,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,352891.200000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.28999999999999898,NA,0.36,4.09999999999999,NA,NA,70,<0.2,NA,48,NA,<0.05,3.1,1.5,<0.2,<0.2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.01943939995624162,0.3188453372859192,0.405,0.060968117400473906,TRUE,0.024692087547191932,NA,0.22051272695363747,0.17794982744933818,406.54497331821875,999.9565535632717,60.965468553018816,NA,221.3539276436894,558.0827923597719
RESSFH,50,Single Family Residential,single family,0.405,K01-12156-4,19696394.39596963,452.1688058260691,32.007527537920026,21,2022-11-09T10:00:00Z,2572004,Total,Composite,2022-11-07T17:38:00Z,2022-11-08T16:53:00Z,352891.200000001,<2,<2,<2,<2,<2,J1.42,<5,<5,<5,<5,<10,<5,<5,J4.22,5.76,<5,<5,<5,<5,<5,J4.92,<4,<2,<2,<1,6.82,<2,<1,<5,J4.5199999999999996,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J3.91,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,13.2,J3.65,<10,9.26,<4,<6,<25,<2,<2,2.2,1.2,78.3,5.6,13,12,345,3800,1.6,36.2999999999999,170,7.1999999999999897E-2,<0.05,6.7,1.7,<0.2,<0.2,12,47,<0.1,210,1,1.4,0.32,H7.35,1.6,1500,320,H21,910,22,120,22,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,327,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.01943939995624162,0.3188453372859192,0.405,0.060968117400473906,TRUE,0.024692087547191932,NA,0.22051272695363747,0.17794982744933818,406.54497331821875,999.9565535632717,60.965468553018816,NA,221.3539276436894,558.0827923597719
RESSFH,50,Single Family Residential,single family,0.405,L01-724-4 (L01P03),8781622.980109144,201.5991300896796,57.6455017353638,22,2023-01-10T09:07:00Z,2656003,Dissolved,Composite,2023-01-10T02:03:00Z,2023-01-10T23:03:00Z,231550.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.2,NA,1.3,6.8,NA,NA,41,<0.2,NA,21,NA,<0.05,6.2,2.2000000000000002,<0.2,<0.2,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,{4397F881-B343-464B-9EAA-09390E6E5C26},349.72191376,238,238,24,10843.46497,238,{1A565B60-44E0-4E2C-84FE-2362549F11C4},L01P03,24,PALISADES,25.29,2023-01-10,2023-01-10,3.12,0.058460458944239124,0.35329045585238644,0.405,0.16547420960804377,TRUE,0.06701705489125773,NA,0.22051272695363747,0.2093498790221276,172.0724174989199,260.38882070856647,43.08763429752066,NA,93.689279052325,154.299011510318
RESSFH,50,Single Family Residential,single family,0.405,L01-724-4 (L01P03),8781622.980109144,201.5991300896796,57.6455017353638,23,2023-01-10T09:07:00Z,2656006,Dissolved,Composite,2023-01-10T02:03:00Z,2023-01-10T23:03:00Z,231550.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.3,NA,1.3,6.9,NA,NA,39,<0.2,NA,21,NA,<0.05,6.2,2.2000000000000002,<0.2,<0.2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,{4397F881-B343-464B-9EAA-09390E6E5C26},349.72191376,238,238,24,10843.46497,238,{1A565B60-44E0-4E2C-84FE-2362549F11C4},L01P03,24,PALISADES,25.29,2023-01-10,2023-01-10,3.12,0.058460458944239124,0.35329045585238644,0.405,0.16547420960804377,TRUE,0.06701705489125773,NA,0.22051272695363747,0.2093498790221276,172.0724174989199,260.38882070856647,43.08763429752066,NA,93.689279052325,154.299011510318
RESSFH,50,Single Family Residential,single family,0.405,L01-724-4 (L01P03),8781622.980109144,201.5991300896796,57.6455017353638,24,2023-01-10T09:07:00Z,2649001,Total,Grab,NA,NA,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,2500,3500,>=21000,NA,NA,NA,NA,NA,NA,323,{4397F881-B343-464B-9EAA-09390E6E5C26},349.72191376,238,238,24,10843.46497,238,{1A565B60-44E0-4E2C-84FE-2362549F11C4},L01P03,24,PALISADES,25.29,NA,NA,NA,NA,0.35329045585238644,0.405,NA,TRUE,NA,NA,0.22051272695363747,0.2093498790221276,172.0724174989199,260.38882070856647,NA,NA,93.689279052325,154.299011510318
