EMC_Group,EMC_groupArea
business,9367.260459709569
single family,24702.88719935532
multi-family,5863.016476499946
surface street,11009.986271445845
highway/arterial,2150.0670428747376
agriculture,1691.8112378653334
developed open space,19659.31907748547
open space,91962.12460026421
water,371.0786197457165
