FACILITYID,Constituent,Fraction,EMC_Model_Outfall
L03-708-11 (L03P05),Fecal coliforms,Total,11108.614427903085
L03-708-11 (L03P05),"Lead, Total",Total,0.002314775552124995
L03-708-11 (L03P05),TN,Total,3.9977747678045725
L03-708-11 (L03P05),TP,Total,0.4456839235477608
L03-708-11 (L03P05),TSS,Total,105.02044999251684
L03-708-11 (L03P05),"Zinc, Total",Dissolved,0.04667618300314841
L03-708-11 (L03P05),"Zinc, Total",Total,0.10319659523059989
L05-049-1,"Copper, Total",Dissolved,0.012536678239811305
L05-049-1,"Copper, Total",Total,0.023617684722765635
L05-049-1,Fecal coliforms,Total,10888.924256061006
L05-049-1,"Lead, Total",Total,0.0024190318432159375
L05-049-1,TN,Total,3.8720039986960466
L05-049-1,TP,Total,0.41690192586148783
L05-049-1,TSS,Total,94.0380200702045
L05-049-1,"Zinc, Total",Dissolved,0.05390943169634623
L05-049-1,"Zinc, Total",Total,0.09997448297055117
M01-088-1,"Copper, Total",Dissolved,0.012584730588484003
M01-088-1,"Copper, Total",Total,0.02434196360496608
M01-088-1,Fecal coliforms,Total,10214.203513520348
M01-088-1,"Lead, Total",Total,0.0023364009933617867
M01-088-1,TN,Total,3.843515102795043
M01-088-1,TP,Total,0.4154553023274326
M01-088-1,TSS,Total,115.52295053261251
M01-088-1,"Zinc, Total",Dissolved,0.04342345669375881
M01-088-1,"Zinc, Total",Total,0.09318985283860375
