AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,10,Fecal coliforms,Total,CFU/100 mL,11600,12712.634087509095,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,11,TN,Total,mg/L,2.71,2.9699343428577283,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,12,TP,Total,mg/L,0.34,0.37261168877181833,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,13,TSS,Total,mg/L,79.9,87.56374686137731,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,14,"Copper, Total",Total,mg/L,0.0254,0.027836284984718192,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,15,"Lead, Total",Total,mg/L,0.0021,0.002301425136531819,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,16,"Zinc, Total",Total,mg/L,0.1569,0.17194933520087735,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,17,"Copper, Total",Dissolved,mg/L,0.0137,0.015014059224040916,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,NA,NA,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,18,"Zinc, Total",Dissolved,mg/L,0.0932,0.1021394393927455,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,10,Fecal coliforms,Total,CFU/100 mL,11600,12712.634087509095,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,11,TN,Total,mg/L,2.71,2.9699343428577283,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,12,TP,Total,mg/L,0.34,0.37261168877181833,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,13,TSS,Total,mg/L,79.9,87.56374686137731,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,14,"Copper, Total",Total,mg/L,0.0254,0.027836284984718192,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,15,"Lead, Total",Total,mg/L,0.0021,0.002301425136531819,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,16,"Zinc, Total",Total,mg/L,0.1569,0.17194933520087735,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,17,"Copper, Total",Dissolved,mg/L,0.0137,0.015014059224040916,1.0959167316818186
6.224789473560227,business,Commercial,I01-11021-1,0.486,0.4654840947292927,0.00911439443099574,0.00951610536991604,NA,0.07036727165511752,0.08802841737352897,COMM,0.08802841737352897,12.449578947120454,18,"Zinc, Total",Dissolved,mg/L,0.0932,0.1021394393927455,1.0959167316818186
149.2906996089398,business,Commercial,J01-9992-1 (J01P27),0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,10,Fecal coliforms,Total,CFU/100 mL,11600,314165.98051430355,27.083274182267548
149.2906996089398,business,Commercial,J01-9992-1 (J01P27),0.486,0.43090185850815593,NA,NA,NA,0.06483467551000736,0.08802841737352897,COMM,0.08802841737352897,307.6651266754656,11,TN,Total,mg/L,2.71,73.39567303394506,27.083274182267548
