LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,JURISDICTI
TRANS,60,Streets and Roads,surface street,0.471,SC05-073-3,344555.5166046559,7.909937897861732,26.220509921288514,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SC06-146-1 (M00P02),334360.3111182395,7.675887248932423,29.06100276293629,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SC06-146-2 (M00P02),2313890.117190616,53.11982031172754,16.304073389809997,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SC07-079-5,364177.25655206945,8.360392866516664,27.918152578466117,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SC10-075-1 (M00P05),1028571.2162163004,23.61284046174262,28.36184804844329,DANA POINT
TRANS,60,Streets and Roads,surface street,0.471,SC11-026-1 (M00P01),2976733.413633303,68.3366694353232,22.376970421231807,DANA POINT
TRANS,60,Streets and Roads,surface street,0.471,SC11-035-1d,90803.1853148562,2.0845626383996128,19.505540475756895,DANA POINT
TRANS,60,Streets and Roads,surface street,0.471,SC12-068-2,956160.998881015,21.9505239563013,26.994490956215344,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SC12-068-4,175197.99620078327,4.022008654611351,24.93143124447696,SAN CLEMENTE
TRANS,60,Streets and Roads,surface street,0.471,SM01-086-1 (M03P01),1924614.8792963063,44.18325476994764,20.130025318994555,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,I01-11487-1,10387445.96374252,238.4639006806939,4.253554494048358,LAGUNA BEACH
TRFWY,61,Freeway,highway/arterial,0.45,I01-11503-3,159944.00405426507,3.6718237794352766,4.035838311803262,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J01-10041-2 (J03P13),111413.92995842846,2.5577221215676147,0.6826150484134649,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,J01-9005-3,132967.97881963474,3.052536976426668,1.5119741605825323,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,J01-9008-1 (J01P30),1163184.7216937416,26.703153683346805,12.621291414306924,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J01-9066-1 (J01P04),179289.36787174697,4.115933999801881,5.011988357540074,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J01-9066-2 (J01P03),23240.01603011714,0.5335194901391218,0.12692277749417172,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J01-9131-1 (J01P28),1778581.7759292969,40.83078260509054,14.257239088887186,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J01-9264-1 (J01P06),1595062.5140065318,36.61774321110489,5.377598113695758,LAKE FOREST
TRFWY,61,Freeway,highway/arterial,0.45,J01-9377-2 (J01TBN8),174958.32538932568,4.016506547858741,4.081049053712653,LAKE FOREST
TRFWY,61,Freeway,highway/arterial,0.45,J01-9992-1 (J01P27),637001.6183985764,14.623603453000324,2.6403947207832044,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J04-9249-1,3011622.4270795174,69.13761417826827,4.206843732148741,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,J06-10011-1 (J06P01),1214832.652673727,27.888831772702385,2.979887788928816,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J06-9079-1 (J06P03),63947.79355562688,1.468045209999277,0.4013383250153184,ALISO VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J07-9109-2,78394.22197538443,1.7996908988340925,0.8925087108738319,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,J07-9109-4 (J07P02),490200.0392585191,11.253489441335136,2.8495177996263004,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,K01-12126-1 (K01S01),11631.354635907524,0.26702022868378433,0.03016314372631157,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,L01-335-1,529754.2241617882,12.161532212696098,2.748536951201269,ORANGE CO
TRFWY,61,Freeway,highway/arterial,0.45,L01-726-9,333103.8811007169,7.64704346924331,8.565957702868515,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L01-728-2,231780.26731523787,5.320964059666863,5.544225705501558,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,L01-728-3 (L01S02),2857441.788233691,65.59809958758342,6.469116068809094,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,L01-728-7 (L01S03),865224.8411119371,19.862908678183757,10.697630117643444,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,L01-766-3,494699.00811571226,11.356771967807193,3.06955941514273,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L01-766-5,242322.65665599785,5.5629849850673185,8.695440390414202,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L02-166-1 (L02PXX),1428.049205145573,0.032783629875104,0.04241976481360829,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-166-2 (L02P25),618122.9063988753,14.190206127133116,3.898908969615971,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-166-3 (L02P26),866678.1210081046,19.896271527341344,4.022003071898473,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-359-1 (L02P43),15218.067842006743,0.34936016332554487,0.3778597371335019,ORANGE CO
TRFWY,61,Freeway,highway/arterial,0.45,L02-366-1 (MVL02P14),277145.62102916127,6.362413443869862,3.200045165521263,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L02-374-2 (MVL02P20),58982.45817809272,1.35405633858203,1.605516708058906,ORANGE CO
TRFWY,61,Freeway,highway/arterial,0.45,L02-502-1,9637.990705506138,0.2212587065561207,0.05952189519360797,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L02-541-9 (L02P02),505089.19239829376,11.59529873188991,5.214525857672698,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L02-622-1 (L02P28),1491739.2427094826,34.245757798079765,13.32871497336271,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-622-2 (L02P32),32472.782970105494,0.7454755018738993,0.13043223115253075,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-640-1 (L11P02),895608.8117252396,20.56043145480335,4.040599886520623,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-641-1,220998.17525313297,5.073440294960652,0.5476831858957303,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L02-641-2,220998.17525313297,5.073440294960652,0.5476831858957303,RANCHO SANTA MARGARITA
TRFWY,61,Freeway,highway/arterial,0.45,L03-074-1 (L03B01),2007263.4525571407,46.080612526056896,15.2026121536612,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-214-2 (L03P18),7377376.3834555615,169.36193510214932,11.413211145341744,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-240-1 (L03P14),2301701.1069880505,52.839998021581714,15.363128630452096,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-241-3,2604086.186688178,59.781832026266635,8.279226814215692,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-418-1,682142.2015042712,15.659892793417429,12.658098475498344,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-418-3,54613.050908406505,1.253748148789383,18.887835799655605,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-418-8,301830.9167533875,6.9291121230642,3.290979784930105,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-455-2,464771.7401504356,10.669733683263852,23.3796427401519,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L03-455-3 (L03P37),640520.4297250247,14.704384568742654,20.381131041511537,SAN JUAN CAPISTRANO
TRFWY,61,Freeway,highway/arterial,0.45,L03-455-5,5731.722767717577,0.13158277535990429,0.5539223258820969,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-455-6,175666.32603004185,4.032760071107759,75.52638214305527,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-455-7,189219.05492323055,4.343889159819121,6.7646642496621725,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-662-1,12831.07653255879,0.294562163843409,0.3413589987913196,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-662-3 (L03P16),179082.171696514,4.111177411096185,0.9415297268170588,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-691-1 (L03P09),571478.1355473255,13.119385249465692,2.5977556382804203,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-693-1 (L03P11),6379.309333701544,0.1464493767450742,0.05233842453093784,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,L03-708-1,708488.3573821867,16.264719727826407,14.923253695652557,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-708-13,142135.52004021057,3.2629956056932135,5.093306694243551,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L03-708-5,273821.42304242274,6.286100053521598,21.790197672998435,LAGUNA NIGUEL
TRFWY,61,Freeway,highway/arterial,0.45,L04-702-4,1049283.0092716827,24.088319706526892,6.427409704400841,MISSION VIEJO
TRFWY,61,Freeway,highway/arterial,0.45,M00.1-070-4,390590.0649635984,8.96674993867184,6.540687073863127,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M00.1-071-2 (M00S04),1000442.898857588,22.967100565683857,5.5095480030170885,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M00.1-071-3 (M00S04),261147.55806560008,5.995146984824751,5.935043488649103,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M00.2-066-1 (M00S07),230944.63267781815,5.3017804513113,3.8887253737038487,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M01-047-1,700709.8849329582,16.08614985722926,2.23610694606074,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M01-050-4 (M01@CGV),777605.3739744049,17.85143444456456,16.987066343372664,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M01-060-3,3312854.8179107513,76.052985981859,1.6730475988067544,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,M02-061-4 (SCBS@M02),311431.5047900976,7.149512179060009,7.910352052426943,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M02-061-6,11850.216295054228,0.2720446211217083,0.6641168251610505,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,M02-102-1,2315980.1406036406,53.16780083911836,1.101922089237296,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,SC03-067-1,432802.79320298944,9.935824711188154,5.686956098631827,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,SC06-146-2 (M00P02),1097251.404047937,25.18952692990634,7.731424792284504,SAN CLEMENTE
TRFWY,61,Freeway,highway/arterial,0.45,SC10-075-1 (M00P05),22205.126560375957,0.5097616019547444,0.6122847066618647,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,SC11-026-1 (M00P01),591208.3519775575,13.572330505465109,4.4442850489723815,DANA POINT
TRFWY,61,Freeway,highway/arterial,0.45,SC12-068-2,12325.868747297822,0.2829641425831204,0.34798590699246207,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,I01-11216-1 (I02P13),37.12059045284482,8.5217490669541e-4,3.6840594234531e-4,ALISO VIEJO
TROTH,62,Streets and Roads,surface street,0.471,I01-11487-1,2755.9529840539985,0.063268227913200345,0.0011285349874865,LAGUNA BEACH
TROTH,62,Streets and Roads,surface street,0.471,J01-9066-1 (J01P04),17953.556568275424,0.4121585946445625,0.5018870754288235,MISSION VIEJO
TROTH,62,Streets and Roads,surface street,0.471,J01-9066-2 (J01P03),635580.3261639132,14.59097494244364,3.4711516641311384,MISSION VIEJO
TROTH,62,Streets and Roads,surface street,0.471,J01-9259-3,58542.09412400997,1.3439469305116845,0.9548116887910286,LAKE FOREST
TROTH,62,Streets and Roads,surface street,0.471,L01-514-1,1984.2385838730693,0.04555203215911882,0.01703469803181637,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L01-517-7,113988.42132333218,2.6168245472540255,1.8440142628856415,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L01-728-2,316605.15868773597,7.268283404778926,7.573252372271923,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,L01-728-3 (L01S02),21397.622619285277,0.49122378810910305,0.0484432280967995,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,L01-728-8d,174951.75860143936,4.0163557945494315,8.884795223132796,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,L01-766-7,6551.9824385981765,0.15041342163926896,0.2651243512019214,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L02-401-2 (COL02P55),70821.71018216311,1.6258492532105997,1.391241171541861,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L02-541-2,18566.860322122066,0.4262381678095996,6.030460831815092,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L02-541-6,35206.99289502194,0.8082445758359966,4.585799718594337,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L02-541-9 (L02P02),263369.54226472124,6.046156927136152,2.719019351298737,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L03-418-1,16298.63338038075,0.37416663395569,0.30244383926100216,LAGUNA NIGUEL
TROTH,62,Streets and Roads,surface street,0.471,L03-418-8,71802.28891113498,1.6483603333597856,0.7828882602882137,LAGUNA NIGUEL
TROTH,62,Streets and Roads,surface street,0.471,L03-455-2,42008.262003999414,0.964380854856555,2.113162382614548,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L03-455-3 (L03P37),95978.01819732506,2.203360929994252,3.053986219961839,SAN JUAN CAPISTRANO
TROTH,62,Streets and Roads,surface street,0.471,L03-455-6,8815.674647141064,0.2023808519271222,3.7902313283136255,LAGUNA NIGUEL
TROTH,62,Streets and Roads,surface street,0.471,L03-455-7,11632.151283287983,0.26703851726429534,0.4158545129857302,LAGUNA NIGUEL
TROTH,62,Streets and Roads,surface street,0.471,L03-708-5,123548.5996167287,2.8362969194814,9.831766915671777,LAGUNA NIGUEL
TROTH,62,Streets and Roads,surface street,0.471,L04-702-4,276313.758152182,6.343316423565896,1.692566938484525,MISSION VIEJO
TROTH,62,Streets and Roads,surface street,0.471,L05-049-1,474191.6582438694,10.885986111482849,2.2760983201318465,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L05-489-3,2995922.597903521,68.77719425229256,3.753242324893632,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L05-489-3d,2997111.9076932487,68.80449715741152,3.564386491690208,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,L05-489-7,378810.4898525487,8.696327022475986,9.418781306120591,ORANGE CO
TROTH,62,Streets and Roads,surface street,0.471,M00.2-066-1 (M00S07),87153.91618629936,2.0007866116393473,1.4675276985723749,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC01-077-1,3730.597567318509,0.08564307827717046,0.17567974582715168,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC03-067-1,2725.732896884338,0.06257446739781072,0.03581567301463228,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC05-073-1,13046.069704213704,0.2994977476733029,0.24068299311684857,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC06-146-1 (M00P02),19141.965790962837,0.4394408255063294,1.6637283261244622,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC06-146-2 (M00P02),113662.99063900013,2.6093536568486373,0.8008892588787018,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC07-079-4,25854.08620380867,0.5935305238857608,55.631240226798994,SAN CLEMENTE
TROTH,62,Streets and Roads,surface street,0.471,SC10-075-1 (M00P05),35438.71903655186,0.8135642973336382,0.977188111527702,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,SC11-026-1 (M00P01),31922.27753234183,0.7328375854415755,0.2399690401726924,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,SC11-035-1d,34496.64584242344,0.7919371861666844,7.410265613745519,DANA POINT
TROTH,62,Streets and Roads,surface street,0.471,SC12-068-4,60050.65976476979,1.3785789708018703,8.54546814219867,SAN CLEMENTE
OSAGIR,70,Agriculture,agriculture,0.222,DP04-12015-1,529214.0783063059,12.149132120499766,6.790931135332863,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,DP06-12106-1,41764.82192970941,0.9587922173897684,1.4408103590940378,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,I00-11437-1,267537.80553165544,6.141847467541048,1.0148582932037888,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I00-11468-1,63476.66508054512,1.4572295451783095,0.6524801365109028,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I00-11518-1,267537.80553165544,6.141847467541048,0.9519864379633496,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I01-11077-1,324470.639229209,7.448850714317254,6.309686197189097,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I01-11093-1,129113.02813059084,2.9640391318698978,3.3823373221154225,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I01-11093-2,133509.3168503319,3.0649644373094915,1.032735503145262,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I01-11487-1,2441406.493650257,56.04720521821692,0.9997313679524914,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,I01-11487-2,356.8568714574943,0.008192339276613,0.0060807930437824,LAGUNA BEACH
OSAGIR,70,Agriculture,agriculture,0.222,J01-10004-1 (J01P01),48033.93864858659,1.1027119096629383,0.2297851764123851,LAKE FOREST
OSAGIR,70,Agriculture,agriculture,0.222,J01-10019-1 (J01P33),873.9684873455866,0.02006363597865068,0.02750737022942764,ALISO VIEJO
OSAGIR,70,Agriculture,agriculture,0.222,J01-9364-3 (J01P21),242162.13390261843,5.5592998749784215,3.311600232563225,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,J04-9249-1,188263.4076892907,4.321950430330134,0.2629794258102542,LAGUNA NIGUEL
OSAGIR,70,Agriculture,agriculture,0.222,K01-12058-1 (K01P08),2661.072539674251,0.06109006391176178,0.01853901417979726,LAGUNA NIGUEL
OSAGIR,70,Agriculture,agriculture,0.222,K01-12058-2 (K01P09),34.31225112836006,7.8770404907659e-4,2.5992307118706e-4,LAGUNA NIGUEL
OSAGIR,70,Agriculture,agriculture,0.222,K01-12062-1,34.31225112836006,7.8770404907659e-4,3.0431920708568e-4,LAGUNA NIGUEL
OSAGIR,70,Agriculture,agriculture,0.222,K01-12126-1 (K01S01),206384.12811473693,4.737946594438156,0.535208005775726,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-125-1,4233.436075002742,0.09718670819095142,0.02684151611284465,RANCHO SANTA MARGARITA
OSAGIR,70,Agriculture,agriculture,0.222,L01-391-3,5956.176459049263,0.13673554370584423,0.15990889275383552,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,L01-471-1,69597.14482177937,1.5977369883194177,0.5003375867430389,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,L01-494-1,6246.088526855434,0.14339103561259173,0.04800500154646289,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,L01-514-1,127110.67826137664,2.918071320147269,1.091245799976052,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,L01-517-1,5303996.391248938,121.76348960739558,74.41239233478156,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-517-3,825250.5539356868,18.94522164710298,3.1374738676616296,ORANGE CO
OSAGIR,70,Agriculture,agriculture,0.222,L01-556-1,140664.589915095,3.2292275614128254,3.338155371534897,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-618-2,38541.70060346933,0.8847992371610252,0.22148084266835696,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-618-4,1148578.3926708717,26.367837167085064,24.262005260199633,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-618-5 (L01S09),26243.26300502874,0.6024648296234087,0.15329648124815923,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-724-4 (L01P03),1179917.4857536976,27.087286626212116,7.745371855141464,SAN JUAN CAPISTRANO
OSAGIR,70,Agriculture,agriculture,0.222,L01-726-5,100055.20584363036,2.2969606534815066,3.333413625103273,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-726-6,54433.97199624358,1.2496370462071804,20.112903410950288,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-727-1 (L01S04),33288.218336350445,0.7641953969151344,0.16670816325937177,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-728-3 (L01S02),475028.7733468832,10.905203706787812,1.0754431755911853,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-728-7 (L01S03),121440.44509148852,2.787900157362861,1.5014882851042186,DANA POINT
OSAGIR,70,Agriculture,agriculture,0.222,L01-731-1 (L08TBN2),4233.436075002742,0.09718670819095142,0.00888925332328649,RANCHO SANTA MARGARITA
